Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Data_transparency.started,key_resp_data_transp.started,Data_transparency.stopped,key_resp_data_transp.keys,key_resp_data_transp.rt,key_resp_data_transp.duration,instructions.started,instructions.stopped,trial.started,target_show.started,target_show.stopped,target_find.started,mouse.started,trial.stopped,target_position_x_y,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,feedback.started,feedback.stopped,instructions_survey.started,instructions_survey.stopped,instructions_ratings.started,instructions_ratings.stopped,survey_ratings.started,survey_ratings.stopped,furcht.response,liebenswert.response,rated_image,survey_gen.started,survey_gen.stopped,age.text,gender.response,survey_games.started,survey_games.stopped,pc_frequency.response,reaction_games_frequency.response,instructions_neuro.started,instructions_neuro.stopped,survey_neuro.started,survey_neuro.stopped,neuro_1_rev.response,neuro_2.response,neuro_3.response,neuro_4_rev.response,survey_fear.started,survey_fear.stopped,specific_fear_spider.response,specific_fear_snake.response,thanks.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.004091162118129432,0.012274624081328511,55.79884669219609,z,55.757451515761204,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961651,001,2023-11-13_12h58.10.011,Selektive Wahrnehmung,2023.2.3,59.899798616808,2023-11-13 13h02.07.508042 +0100,
,,,,,,,,,,,,,,,,,55.798872292158194,77.64110015076585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961651,001,2023-11-13_12h58.10.011,Selektive Wahrnehmung,2023.2.3,59.899798616808,2023-11-13 13h02.07.508042 +0100,
zug1,0,0,0,15,,,,,77.68870104814414,,,,,,,,,,77.65798760787584,77.68870104814414,79.69197357958183,80.64443867339287,3.003542753518559,81.41275197849609,"[300, 0]",[0.20925925925925926],[0.000925925925925926],[1],[0],[0],[0.7676738743903115],[1],['target_find'],81.41376403125469,82.42906997806858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961651,001,2023-11-13_12h58.10.011,Selektive Wahrnehmung,2023.2.3,59.899798616808,2023-11-13 13h02.07.508042 +0100,
flugzeug1,0,1,1,13,,,,,82.46953189279884,,,,,,,,,,82.42979502654634,82.46953189279884,84.480157593498,85.43399399309419,3.0051327970577404,88.45253293367568,"[0, -300]",[-0.01574074074074074],[-0.30833333333333335],[1],[0],[0],[3.017709216568619],[1],['target_find'],88.45329012430739,89.46898149314802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961651,001,2023-11-13_12h58.10.011,Selektive Wahrnehmung,2023.2.3,59.899798616808,2023-11-13 13h02.07.508042 +0100,
schlange2,0,2,2,3,,,,,89.73695246956777,,,,,,,,,,89.46953103947453,89.73695246956777,91.73714674508665,92.47535389848053,3.006576067302376,93.38995035586413,"[300, 0]",[0.2111111111111111],[-0.041666666666666664],[1],[0],[0],[0.9138455245411023],[1],['target_find'],93.39045808895025,94.40697576839011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961651,001,2023-11-13_12h58.10.011,Selektive Wahrnehmung,2023.2.3,59.899798616808,2023-11-13 13h02.07.508042 +0100,
schiff1,0,3,3,14,,,,,94.47993629577104,,,,,,,,,,94.40736887045205,94.47993629577104,96.49214066215791,97.4123568853829,3.0055526368087158,98.51195846428163,"[-300, 0]",[-0.2861111111111111],[-0.041666666666666664],[1],[0],[0],[1.0989658458856866],[1],['target_find'],98.5124596550595,99.5294517877046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961651,001,2023-11-13_12h58.10.011,Selektive Wahrnehmung,2023.2.3,59.899798616808,2023-11-13 13h02.07.508042 +0100,
gesicht2,0,4,4,9,,,,,99.64828919561114,,,,,,,,,,99.53019760060124,99.64828919561114,101.66379908903036,102.53543820197228,3.0062077121110633,103.61700800445396,"[-300, 300]",[-0.2064814814814815],[0.23333333333333334],[1],[0],[0],[1.080765109625645],[1],['target_find'],103.6175228486536,104.63455622561742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961651,001,2023-11-13_12h58.10.011,Selektive Wahrnehmung,2023.2.3,59.899798616808,2023-11-13 13h02.07.508042 +0100,
schlange1,0,5,5,2,,,,,104.93107004801277,,,,,,,,,,104.63531654514372,104.93107004801277,106.93572184990626,107.63756763725542,3.003149367053993,108.60688093467616,"[-300, 0]",[-0.25],[-0.006481481481481481],[1],[0],[0],[0.9683737779268995],[1],['target_find'],108.60798600071575,109.62289201898966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961651,001,2023-11-13_12h58.10.011,Selektive Wahrnehmung,2023.2.3,59.899798616808,2023-11-13 13h02.07.508042 +0100,
spinne2,0,6,6,1,,,,,110.09165790339466,,,,,,,,,,109.62363498739433,110.09165790339466,112.09086885489523,112.62745820300188,3.0047510728472844,113.145244930638,"[-300, 0]",[-0.21851851851851853],[-0.022222222222222223],[1],[0],[0],[0.516737412661314],[1],['target_find'],113.14653858321253,114.15999962447677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961651,001,2023-11-13_12h58.10.011,Selektive Wahrnehmung,2023.2.3,59.899798616808,2023-11-13 13h02.07.508042 +0100,
auto1,0,7,7,12,,,,,114.25677411165088,,,,,,,,,,114.16023485991172,114.25677411165088,116.26178317551967,117.1643388220109,3.0046011707745492,118.48149561940227,"[-300, -300]",[-0.2212962962962963],[-0.275],[1],[0],[0],[1.316422646632418],[1],['target_find'],118.48203435679898,119.49940963590052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961651,001,2023-11-13_12h58.10.011,Selektive Wahrnehmung,2023.2.3,59.899798616808,2023-11-13 13h02.07.508042 +0100,
