Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Data_transparency.started,key_resp_data_transp.started,Data_transparency.stopped,key_resp_data_transp.keys,key_resp_data_transp.rt,key_resp_data_transp.duration,instructions.started,instructions.stopped,trial.started,target_show.started,target_show.stopped,target_find.started,mouse.started,trial.stopped,target_position_x_y,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,feedback.started,feedback.stopped,instructions_survey.started,instructions_survey.stopped,instructions_ratings.started,instructions_ratings.stopped,survey_ratings.started,survey_ratings.stopped,furcht.response,liebenswert.response,rated_image,survey_gen.started,survey_gen.stopped,age.text,gender.response,survey_games.started,survey_games.stopped,pc_frequency.response,reaction_games_frequency.response,instructions_neuro.started,instructions_neuro.stopped,survey_neuro.started,survey_neuro.stopped,neuro_1_rev.response,neuro_2.response,neuro_3.response,neuro_4_rev.response,survey_fear.started,survey_fear.stopped,specific_fear_spider.response,specific_fear_snake.response,thanks.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.05140390060842037,0.11778890155255795,15.95108520053327,z,15.782761899754405,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786775,001,2023-11-06_14h26.59.043,Selektive Wahrnehmung,2023.2.3,59.94592872345492,2023-11-06 14h27.17.303257 +0100,
,,,,,,,,,,,,,,,,,15.951147301122546,46.06693479977548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786775,001,2023-11-06_14h26.59.043,Selektive Wahrnehmung,2023.2.3,59.94592872345492,2023-11-06 14h27.17.303257 +0100,
auto1,0,0,0,12,,,,,46.38213190063834,,,,,,,,,,46.121290201321244,46.38213190063834,48.381579300388694,49.131779899820685,3.0649252012372017,50.146202800795436,"[-300, 0]",[-0.2],[-0.03981481481481482],[1],[0],[0],[1.0134478993713856],[1],['target_find'],50.149916199967265,51.16595330089331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786775,001,2023-11-06_14h26.59.043,Selektive Wahrnehmung,2023.2.3,59.94592872345492,2023-11-06 14h27.17.303257 +0100,
person1,0,1,1,4,,,,,51.29825030080974,,,,,,,,,,51.16654600016773,51.29825030080974,53.29828600026667,54.23126680031419,3.065371699631214,55.08452860079706,"[300, -300]",[0.23148148148148148],[-0.225],[1],[0],[0],[0.8523374013602734],[1],['target_find'],55.08596130087972,56.09898430109024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786775,001,2023-11-06_14h26.59.043,Selektive Wahrnehmung,2023.2.3,59.94592872345492,2023-11-06 14h27.17.303257 +0100,
person2,0,2,2,5,,,,,56.18134710006416,,,,,,,,,,56.09959600120783,56.18134710006416,58.181461000815034,59.13166930153966,3.03296510130167,59.651716500520706,"[-300, 0]",[-0.22685185185185186],[-0.017592592592592594],[1],[0],[0],[0.5189044997096062],[1],['target_find'],59.65316350013018,60.665800200775266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786775,001,2023-11-06_14h26.59.043,Selektive Wahrnehmung,2023.2.3,59.94592872345492,2023-11-06 14h27.17.303257 +0100,
schlange2,0,3,3,3,,,,,60.747904701158404,,,,,,,,,,60.666573099792004,60.747904701158404,62.74793440103531,63.69774420000613,3.0319932010024786,64.55163419991732,"[300, -300]",[0.1962962962962963],[-0.25555555555555554],[1],[0],[0],[0.852955998852849],[1],['target_find'],64.5530858002603,65.5654476005584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786775,001,2023-11-06_14h26.59.043,Selektive Wahrnehmung,2023.2.3,59.94592872345492,2023-11-06 14h27.17.303257 +0100,
spinne2,0,4,4,1,,,,,65.79774230159819,,,,,,,,,,65.56604310125113,65.79774230159819,67.79764510132372,68.61419070139527,3.0487986002117395,69.24919719994068,"[-300, 0]",[-0.15462962962962962],[-0.08333333333333333],[1],[0],[0],[0.6344693005084991],[1],['target_find'],69.24977870099247,70.26470430009067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786775,001,2023-11-06_14h26.59.043,Selektive Wahrnehmung,2023.2.3,59.94592872345492,2023-11-06 14h27.17.303257 +0100,
gruppe1,0,5,5,6,,,,,70.39778329990804,,,,,,,,,,70.26497770100832,70.39778329990804,72.3975625000894,73.297637199983,3.033273199573159,73.91609170101583,"[300, 300]",[0.2851851851851852],[0.1962962962962963],[1],[0],[0],[0.6174211986362934],[1],['target_find'],73.91701480001211,74.93147910013795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786775,001,2023-11-06_14h26.59.043,Selektive Wahrnehmung,2023.2.3,59.94592872345492,2023-11-06 14h27.17.303257 +0100,
gesicht4,0,6,6,11,,,,,74.98084430024028,,,,,,,,,,74.93201770074666,74.98084430024028,76.98083460144699,77.94713850133121,3.0157249998301268,78.61719060130417,"[300, -300]",[0.23055555555555557],[-0.16018518518518518],[1],[0],[0],[0.6692358013242483],[1],['target_find'],78.61826270073652,79.63143900036812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786775,001,2023-11-06_14h26.59.043,Selektive Wahrnehmung,2023.2.3,59.94592872345492,2023-11-06 14h27.17.303257 +0100,
gesicht2,0,7,7,9,,,,,79.68053840100765,,,,,,,,,,79.63195080123842,79.68053840100765,81.68061510100961,82.66394630074501,3.0327829010784626,83.30004670098424,"[300, 0]",[0.3675925925925926],[-0.03425925925925926],[1],[0],[0],[0.6350232008844614],[1],['target_find'],83.3012405000627,84.31414150074124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786775,001,2023-11-06_14h26.59.043,Selektive Wahrnehmung,2023.2.3,59.94592872345492,2023-11-06 14h27.17.303257 +0100,
