Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Data_transparency.started,key_resp_data_transp.started,Data_transparency.stopped,key_resp_data_transp.keys,key_resp_data_transp.rt,key_resp_data_transp.duration,instructions.started,instructions.stopped,trial.started,target_show.started,target_show.stopped,target_find.started,mouse.started,trial.stopped,target_position_x_y,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,feedback.started,feedback.stopped,instructions_survey.started,instructions_survey.stopped,instructions_ratings.started,instructions_ratings.stopped,survey_ratings.started,survey_ratings.stopped,furcht.response,liebenswert.response,rated_image,survey_gen.started,survey_gen.stopped,age.text,gender.response,survey_games.started,survey_games.stopped,pc_frequency.response,reaction_games_frequency.response,instructions_neuro.started,instructions_neuro.stopped,survey_neuro.started,survey_neuro.stopped,neuro_1_rev.response,neuro_2.response,neuro_3.response,neuro_4_rev.response,survey_fear.started,survey_fear.stopped,specific_fear_spider.response,specific_fear_snake.response,thanks.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.027294599916785955,0.043801499996334314,6.4436586000956595,z,6.388430300168693,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321677,001,2023-11-06_13h59.41.308,Selektive Wahrnehmung,2023.2.3,60.46142948958053,2023-11-06 14h00.41.089803 +0100,
,,,,,,,,,,,,,,,,,6.443715299945325,34.75757980020717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321677,001,2023-11-06_13h59.41.308,Selektive Wahrnehmung,2023.2.3,60.46142948958053,2023-11-06 14h00.41.089803 +0100,
spinne1,0,0,0,0,,,,,34.89239649986848,,,,,,,,,,34.764737400226295,34.89239649986848,36.90712019987404,37.7724350001663,3.0149314999580383,38.70706330006942,"[300, 300]",[0.29259259259259257],[0.2796296296296296],[1],[0],[0],[0.9341174000874162],[1],['target_find'],38.70804509986192,39.72336860001087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321677,001,2023-11-06_13h59.41.308,Selektive Wahrnehmung,2023.2.3,60.46142948958053,2023-11-06 14h00.41.089803 +0100,
gruppe1,0,1,1,6,,,,,39.75583600020036,,,,,,,,,,39.72395890019834,39.75583600020036,41.75571619998664,42.772484300192446,3.049199200235307,44.074537499807775,"[300, -300]",[0.19814814814814816],[-0.2740740740740741],[1],[0],[0],[1.3013230999931693],[1],['target_find'],44.07537449989468,45.090047399979085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321677,001,2023-11-06_13h59.41.308,Selektive Wahrnehmung,2023.2.3,60.46142948958053,2023-11-06 14h00.41.089803 +0100,
flugzeug1,0,2,2,13,,,,,45.14222239982337,,,,,,,,,,45.090647799894214,45.14222239982337,47.15589320007712,48.12199700018391,3.0320946001447737,48.9752969997935,"[0, -300]",[-0.032407407407407406],[-0.2638888888888889],[1],[0],[0],[0.8523387000896037],[1],['target_find'],48.97658979985863,49.98963369987905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321677,001,2023-11-06_13h59.41.308,Selektive Wahrnehmung,2023.2.3,60.46142948958053,2023-11-06 14h00.41.089803 +0100,
gesicht4,0,3,3,11,,,,,50.03869919991121,,,,,,,,,,49.99029739992693,50.03869919991121,52.038598500192165,53.0219895998016,2.9991536997258663,53.874181100167334,"[-300, 300]",[-0.3962962962962963],[0.32407407407407407],[1],[0],[0],[0.8841947000473738],[1],['target_find'],53.875313399825245,54.890884700231254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321677,001,2023-11-06_13h59.41.308,Selektive Wahrnehmung,2023.2.3,60.46142948958053,2023-11-06 14h00.41.089803 +0100,
auto1,0,4,4,12,,,,,54.94146110024303,,,,,,,,,,54.89162060013041,54.94146110024303,56.955731300171465,57.93840100010857,3.047713799867779,59.10964269982651,"[300, 0]",[0.3212962962962963],[-0.004629629629629629],[1],[0],[0],[1.1701755002140999],[1],['target_find'],59.1110744997859,60.12260300014168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321677,001,2023-11-06_13h59.41.308,Selektive Wahrnehmung,2023.2.3,60.46142948958053,2023-11-06 14h00.41.089803 +0100,
person1,0,5,5,4,,,,,60.23791400017217,,,,,,,,,,60.12331139994785,60.23791400017217,62.238051999825984,63.171453500166535,3.0490569001995027,63.9408690999262,"[-300, 0]",[-0.1824074074074074],[0.05925925925925926],[1],[0],[0],[0.7687411997467279],[1],['target_find'],63.941352900117636,64.95666579995304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321677,001,2023-11-06_13h59.41.308,Selektive Wahrnehmung,2023.2.3,60.46142948958053,2023-11-06 14h00.41.089803 +0100,
schlange1,0,6,6,2,,,,,65.09094400005415,,,,,,,,,,64.9571020998992,65.09094400005415,67.10470589995384,68.00463260011747,3.0480514001101255,69.02491350006312,"[300, 300]",[0.2074074074074074],[0.20185185185185187],[1],[0],[0],[1.019324699882418],[1],['target_find'],69.02632419997826,70.03871570015326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321677,001,2023-11-06_13h59.41.308,Selektive Wahrnehmung,2023.2.3,60.46142948958053,2023-11-06 14h00.41.089803 +0100,
gesicht2,0,7,7,9,,,,,70.08771840017289,,,,,,,,,,70.03930479986593,70.08771840017289,72.08776909997687,73.1208798000589,2.9990823003463447,73.79071989981458,"[-300, 300]",[-0.28703703703703703],[0.3574074074074074],[1],[0],[0],[0.7516418001614511],[1],['target_find'],73.79186489991844,74.80561720021069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321677,001,2023-11-06_13h59.41.308,Selektive Wahrnehmung,2023.2.3,60.46142948958053,2023-11-06 14h00.41.089803 +0100,
