Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Data_transparency.started,key_resp_data_transp.started,Data_transparency.stopped,key_resp_data_transp.keys,key_resp_data_transp.rt,key_resp_data_transp.duration,instructions.started,instructions.stopped,trial.started,target_show.started,target_show.stopped,target_find.started,mouse.started,trial.stopped,target_position_x_y,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,feedback.started,feedback.stopped,instructions_survey.started,instructions_survey.stopped,instructions_ratings.started,instructions_ratings.stopped,survey_ratings.started,survey_ratings.stopped,furcht.response,liebenswert.response,rated_image,survey_gen.started,survey_gen.stopped,age.text,gender.response,survey_games.started,survey_games.stopped,pc_frequency.response,reaction_games_frequency.response,instructions_neuro.started,instructions_neuro.stopped,survey_neuro.started,survey_neuro.stopped,neuro_1_rev.response,neuro_2.response,neuro_3.response,neuro_4_rev.response,survey_fear.started,survey_fear.stopped,specific_fear_spider.response,specific_fear_snake.response,thanks.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.13258399999995163,0.18230010000024777,6.3646285000004355,z,6.172826500000156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,067461,001,2023-11-06_13h32.04.059,Selektive Wahrnehmung,2023.2.3,60.002508105054844,2023-11-06 13h32.51.420987 +0100,
,,,,,,,,,,,,,,,,,6.364686500000062,23.664047900000696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,067461,001,2023-11-06_13h32.04.059,Selektive Wahrnehmung,2023.2.3,60.002508105054844,2023-11-06 13h32.51.420987 +0100,
gruppe1,0,0,0,6,,,,,23.84827040000073,,,,,,,,,,23.69533709999996,23.84827040000073,25.862846100000752,26.69469780000054,3.030700799999977,27.93783750000057,"[0, 300]",[0.024074074074074074],[0.34074074074074073],[1],[0],[0],[1.2426140999996278],[1],['target_find'],27.95220470000004,28.962701800000104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,067461,001,2023-11-06_13h32.04.059,Selektive Wahrnehmung,2023.2.3,60.002508105054844,2023-11-06 13h32.51.420987 +0100,
gesicht3,0,1,1,10,,,,,29.111436200000753,,,,,,,,,,28.963466200000767,29.111436200000753,31.11151289999998,32.027884500000255,3.065407800000685,33.11422880000009,"[0, -300]",[-0.08518518518518518],[-0.32222222222222224],[1],[0],[0],[1.0852874000001975],[1],['target_find'],33.115295600000536,34.128916700000445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,067461,001,2023-11-06_13h32.04.059,Selektive Wahrnehmung,2023.2.3,60.002508105054844,2023-11-06 13h32.51.420987 +0100,
spinne2,0,2,2,1,,,,,34.379123300000174,,,,,,,,,,34.129458800000066,34.379123300000174,36.37908570000036,37.16088650000074,3.032020000000557,38.031105000000025,"[300, 300]",[0.29814814814814816],[0.32314814814814813],[1],[0],[0],[0.869753099999798],[1],['target_find'],38.03163040000072,39.045079200000146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,067461,001,2023-11-06_13h32.04.059,Selektive Wahrnehmung,2023.2.3,60.002508105054844,2023-11-06 13h32.51.420987 +0100,
person1,0,3,3,4,,,,,39.161053300000276,,,,,,,,,,39.045603100000335,39.161053300000276,41.1609468000006,42.0943427000002,3.0493412000005264,43.23116240000036,"[300, 0]",[0.25462962962962965],[0.06574074074074074],[1],[0],[0],[1.1360029999996186],[1],['target_find'],43.232164800000646,44.24687600000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,067461,001,2023-11-06_13h32.04.059,Selektive Wahrnehmung,2023.2.3,60.002508105054844,2023-11-06 13h32.51.420987 +0100,
gruppe2,0,4,4,7,,,,,44.33042090000072,,,,,,,,,,44.24782640000012,44.33042090000072,46.34522500000003,47.29407050000009,3.047261200000321,48.429077300000245,"[300, -300]",[0.3861111111111111],[-0.3],[1],[0],[0],[1.1344452999992427],[1],['target_find'],48.429610400000456,49.44447490000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,067461,001,2023-11-06_13h32.04.059,Selektive Wahrnehmung,2023.2.3,60.002508105054844,2023-11-06 13h32.51.420987 +0100,
zug1,0,5,5,15,,,,,49.51072470000054,,,,,,,,,,49.44475240000065,49.51072470000054,51.51052840000011,52.460590100000445,3.01641010000003,53.446766600000046,"[-300, -300]",[-0.2351851851851852],[-0.30185185185185187],[1],[0],[0],[0.9850891999994928],[1],['target_find'],53.447912700000415,54.46168510000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,067461,001,2023-11-06_13h32.04.059,Selektive Wahrnehmung,2023.2.3,60.002508105054844,2023-11-06 13h32.51.420987 +0100,
gesicht2,0,6,6,9,,,,,54.49690460000056,,,,,,,,,,54.46219780000047,54.49690460000056,56.51155490000019,57.49329089999992,2.9991171000001486,58.21365700000024,"[300, 300]",[0.25277777777777777],[0.2712962962962963],[1],[0],[0],[0.7523167999997895],[1],['target_find'],58.21419260000039,59.22704840000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,067461,001,2023-11-06_13h32.04.059,Selektive Wahrnehmung,2023.2.3,60.002508105054844,2023-11-06 13h32.51.420987 +0100,
spinne1,0,7,7,0,,,,,59.30970840000009,,,,,,,,,,59.22728600000028,59.30970840000009,61.310008800000105,62.24328980000064,3.016484799999489,63.178919300000416,"[300, 300]",[0.25555555555555554],[0.22314814814814815],[1],[0],[0],[0.9347184999996898],[1],['target_find'],63.179700000000594,64.19528780000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,067461,001,2023-11-06_13h32.04.059,Selektive Wahrnehmung,2023.2.3,60.002508105054844,2023-11-06 13h32.51.420987 +0100,
