Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Data_transparency.started,key_resp_data_transp.started,Data_transparency.stopped,key_resp_data_transp.keys,key_resp_data_transp.rt,key_resp_data_transp.duration,instructions.started,instructions.stopped,trial.started,target_show.started,target_show.stopped,target_find.started,mouse.started,trial.stopped,target_position_x_y,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,feedback.started,feedback.stopped,instructions_survey.started,instructions_survey.stopped,instructions_ratings.started,instructions_ratings.stopped,survey_ratings.started,survey_ratings.stopped,furcht.response,liebenswert.response,rated_image,survey_gen.started,survey_gen.stopped,age.text,gender.response,survey_games.started,survey_games.stopped,pc_frequency.response,reaction_games_frequency.response,instructions_neuro.started,instructions_neuro.stopped,survey_neuro.started,survey_neuro.stopped,neuro_1_rev.response,neuro_2.response,neuro_3.response,neuro_4_rev.response,survey_fear.started,survey_fear.stopped,specific_fear_spider.response,specific_fear_snake.response,thanks.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.004424815260790638,0.02378238647179387,20.39483909982482,z,20.306745852163658,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
,,,,,,,,,,,,,,,,,20.394865268699505,33.57662630307459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
person1,0,0,0,4,,,,,33.67289476386577,,,,,,,,,,33.588452358570066,33.67289476386577,35.67785376548818,36.57984080791357,3.003377491411811,37.39833520450338,"[-300, 0]",[-0.25462962962962965],[-0.025],[1],[0],[0],[0.8178026280947961],[1],['target_find'],37.39960667044579,38.41492314173411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
gruppe2,0,1,1,7,,,,,38.77782512194972,,,,,,,,,,38.41563311466234,38.77782512194972,40.78285210575632,41.42095904941016,3.0061653298253077,43.08681381727911,"[300, -300]",[0.3333333333333333],[-0.45925925925925926],[1],[0],[0],[1.6652540215454792],[],[],43.08732268810127,44.104235176257134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
spinne1,0,2,2,0,,,,,44.480763459832815,,,,,,,,,,44.105059780233205,44.480763459832815,46.48872562419274,47.11023410617781,3.006143712062112,48.058110544719966,"[0, 300]",[-0.04537037037037037],[0.26296296296296295],[1],[0],[0],[0.9471983233725041],[1],['target_find'],48.058650419969126,49.07454545092514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
gruppe1,0,3,3,6,,,,,49.136687140018694,,,,,,,,,,49.07483359298385,49.136687140018694,51.14322395407726,52.077207564967466,3.0027411895516707,53.931087683648,"[-300, 300]",[-0.2972222222222222],[0.29814814814814816],[1],[0],[0],[1.8533436567649915],[1],['target_find'],53.93171374551457,54.94788298076128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
schlange2,0,4,4,3,,,,,55.08240493089943,,,,,,,,,,54.94847462486905,55.08240493089943,57.082620539666095,57.953385270962826,3.005692014539818,59.653177086192954,"[300, -300]",[0.20092592592592592],[-0.25277777777777777],[1],[0],[0],[1.6990007756794512],[1],['target_find'],59.65378465918002,60.670582800736156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
spinne2,0,5,5,1,,,,,61.19921083778354,,,,,,,,,,60.6713078492121,61.19921083778354,63.20528486099465,63.67574034446807,3.0053228058604873,64.80794805592268,"[300, 300]",[0.22685185185185186],[0.2351851851851852],[1],[0],[0],[1.1315432496121502],[1],['target_find'],64.80845493563538,65.8251299128151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
zug1,0,6,6,15,,,,,65.92575378446054,,,,,,,,,,65.82564845474371,65.92575378446054,67.92647143738577,68.82762050695419,3.0026532962674537,70.16331226264992,"[-300, -300]",[-0.2111111111111111],[-0.19722222222222222],[1],[0],[0],[1.3350099427498208],[1],['target_find'],70.16397615560527,71.18002763091863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
gesicht2,0,7,7,9,,,,,71.20967668071717,,,,,,,,,,71.1803117907566,71.20967668071717,73.21522135311898,74.18364064219531,3.003791926730628,74.88642623350097,"[0, 300]",[0.017592592592592594],[0.17962962962962964],[1],[0],[0],[0.7018856095928641],[1],['target_find'],74.88744681958633,75.90254284655384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
auto1,0,8,8,12,,,,,75.94693748796453,,,,,,,,,,75.9032735839155,75.94693748796453,77.95339750206767,78.90534092496273,3.0029670383119083,80.37365198298903,"[300, -300]",[0.2175925925925926],[-0.21296296296296297],[1],[0],[0],[1.467622418418614],[1],['target_find'],80.3741725160271,81.39022285356259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
schiff1,0,9,9,14,,,,,81.42073462287226,,,,,,,,,,81.39052749338953,81.42073462287226,83.4254413224171,84.39314864745393,3.0030802471355855,85.19574886641931,"[0, -300]",[0.025925925925925925],[-0.2564814814814815],[1],[0],[0],[0.8019974815306341],[1],['target_find'],85.19628390611433,86.2123294080975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
flugzeug1,0,10,10,13,,,,,86.25512262819757,,,,,,,,,,86.21290768332437,86.25512262819757,88.26368639221437,89.21642825021081,3.004319286432292,90.33527788926403,"[0, -300]",[-0.012962962962962963],[-0.20555555555555555],[1],[0],[0],[1.1179539240074519],[1],['target_find'],90.33623987982901,91.35095332923629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
gesicht4,0,11,11,11,,,,,91.39669424543717,,,,,,,,,,91.35157171110586,91.39669424543717,93.40225171783095,94.35365754103077,3.002866345035727,94.98806215790319,"[-300, 0]",[-0.25462962962962965],[-0.003703703703703704],[1],[0],[0],[0.633734181697946],[1],['target_find'],94.98864213979505,96.00488191722252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
gesicht1,0,12,12,8,,,,,96.03407955394687,,,,,,,,,,96.00519110815912,96.03407955394687,98.03990184396753,99.0078836577377,3.003177811524438,99.76166726447445,"[-300, 300]",[-0.1648148148148148],[0.16944444444444445],[1],[0],[0],[0.752798576186251],[1],['target_find'],99.76285311268839,100.77650046492454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
person2,0,13,13,5,,,,,100.80983136151917,,,,,,,,,,100.77683440251349,100.80983136151917,102.81143050727587,103.77922913892871,3.0029075894562993,104.49744270367773,"[300, 300]",[0.20833333333333334],[0.1925925925925926],[1],[0],[0],[0.7176085517603497],[1],['target_find'],104.49796039227112,105.5155455911572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
gesicht3,0,14,14,10,,,,,105.56203914692924,,,,,,,,,,105.5162527196444,105.56203914692924,107.56624579342497,108.51711743026317,3.0016733857137297,109.4531934132956,"[300, 300]",[0.18518518518518517],[0.2101851851851852],[1],[0],[0],[0.9354228989595867],[1],['target_find'],109.4539045240017,110.47041736794017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
schlange1,0,15,15,2,,,,,110.51356443672921,,,,,,,,,,110.47113160753543,110.51356443672921,112.52123333903182,113.47666916882918,3.0063741119283804,114.093814559963,"[300, 300]",[0.19722222222222222],[0.2212962962962963],[1],[0],[0],[0.615881605188406],[1],['target_find'],114.09570895888646,115.10834824058475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
spinne1,1,0,16,0,,,,,115.15238277553362,,,,,,,,,,115.10908552016554,115.15238277553362,117.15922081608915,118.11181732305522,3.003671891245176,118.97929786066743,"[300, 300]",[0.23796296296296296],[0.21666666666666667],[1],[0],[0],[0.8666880758391926],[1],['target_find'],118.98008178911005,119.99633948652809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
gesicht1,1,1,17,8,,,,,120.03956733749146,,,,,,,,,,119.99697294394537,120.03956733749146,122.04738727970835,122.99958556468118,3.003394273624508,123.63386900828846,"[0, 300]",[0.05648148148148148],[0.2074074074074074],[1],[0],[0],[0.6335549818013533],[1],['target_find'],123.63457215455492,124.65137797610623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
gesicht2,1,2,18,9,,,,,124.69065375820719,,,,,,,,,,124.65212663345665,124.69065375820719,126.70188959181542,127.65463742314023,3.0033621314214543,128.77322252901104,"[0, -300]",[-0.049074074074074076],[-0.2574074074074074],[1],[0],[0],[1.1180659950550762],[1],['target_find'],128.77371063540159,129.78921569324666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
person2,1,3,19,5,,,,,129.83201602445297,,,,,,,,,,129.78980705290996,129.83201602445297,131.84073651726976,132.79116186102874,3.0020411721725395,133.57704073839523,"[-300, 300]",[-0.33611111111111114],[0.24351851851851852],[1],[0],[0],[0.7852903621460428],[1],['target_find'],133.57767362692357,134.59358344898465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
gruppe2,1,4,20,7,,,,,134.62705030994584,,,,,,,,,,134.59394526211145,134.62705030994584,136.6286440512613,137.597567091163,3.0041602820765547,138.3654420676594,"[300, 300]",[0.24444444444444444],[0.21666666666666667],[1],[0],[0],[0.7671197769268474],[1],['target_find'],138.36610738283707,139.38218047591545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
gruppe1,1,5,21,6,,,,,139.42272772396063,,,,,,,,,,139.38276671558197,139.42272772396063,141.43322286465627,142.387898090441,3.0058749122126756,143.2875120142162,"[300, 300]",[0.21944444444444444],[0.20092592592592592],[1],[0],[0],[0.8988817641911737],[1],['target_find'],143.2882131693732,144.30389685822774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
schlange2,1,6,22,3,,,,,144.34760854891647,,,,,,,,,,144.3045573378531,144.34760854891647,146.3549807758336,147.30617781693036,3.0024206208454416,148.49349120370425,"[-300, 300]",[-0.21944444444444444],[0.17962962962962964],[1],[0],[0],[1.186746204873998],[1],['target_find'],148.49401458118336,149.50882331942557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
spinne2,1,7,23,1,,,,,149.69698861682446,,,,,,,,,,149.5094069990937,149.69698861682446,151.71024628039413,152.51435007183682,3.005724441189159,153.64733004951995,"[0, -300]",[-0.030555555555555555],[-0.2064814814814815],[1],[0],[0],[1.1321781292499509],[1],['target_find'],153.6480843957579,154.6643716753806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
gesicht3,1,8,24,10,,,,,154.70761431744722,,,,,,,,,,154.66508563052957,154.70761431744722,156.71598409046237,157.66609256328957,3.0017763545456546,158.26791863869585,"[-300, 300]",[-0.25833333333333336],[0.25833333333333336],[1],[0],[0],[0.6013354090191569],[1],['target_find'],158.2683930917592,159.2850774556009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
gesicht4,1,9,25,11,,,,,159.3127592887413,,,,,,,,,,159.285369864323,159.3127592887413,161.3196920492428,162.28806127612552,3.003160744869092,163.10659833935824,"[0, 300]",[-0.05648148148148148],[0.17685185185185184],[1],[0],[0],[0.8177912503215339],[1],['target_find'],163.10727929897075,164.1234052986856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
flugzeug1,1,10,26,13,,,,,164.16559635023987,,,,,,,,,,164.1239514317076,164.16559635023987,166.17478532278983,167.1253218842612,3.0019828610929835,167.76140159351417,"[-300, 300]",[-0.18333333333333332],[0.2074074074074074],[1],[0],[0],[0.63544682072461],[1],['target_find'],167.7621309086553,168.77767095314812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
schlange1,1,11,27,2,,,,,168.8108087120745,,,,,,,,,,168.77801911294955,168.8108087120745,170.8127218843183,171.78091418685835,3.003422433608648,173.3167005487212,"[300, 0]",[0.19166666666666668],[0.022222222222222223],[1],[0],[0],[1.5350968689235742],[1],['target_find'],173.31735505501638,174.33406160551203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
person1,1,12,28,4,,,,,174.37101916671054,,,,,,,,,,174.33478181843566,174.37101916671054,176.38497343432755,177.34019877535502,3.006279391982389,178.07086474190874,"[-300, 300]",[-0.14722222222222223],[0.17962962962962964],[1],[0],[0],[0.7301081713176245],[1],['target_find'],178.0713366349737,179.08818227872325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
auto1,1,13,29,12,,,,,179.1293672508491,,,,,,,,,,179.08865758512002,179.1293672508491,181.1396558849956,182.09026042865298,3.002149829888367,182.77690750469264,"[0, 300]",[0.011111111111111112],[0.1787037037037037],[1],[0],[0],[0.6861814407511702],[1],['target_find'],182.77743031328464,183.79248338916477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
zug1,1,14,30,15,,,,,183.8237386958299,,,,,,,,,,183.7927965623203,183.8237386958299,185.82787138681124,186.79498735218476,3.0025838918627414,187.6485491777148,"[-300, -300]",[-0.19537037037037036],[-0.20833333333333334],[1],[0],[0],[0.8529531147632952],[1],['target_find'],187.64925260842574,188.66507027053922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782594,001,2023-11-06_14h26.37.505,Selektive Wahrnehmung,2023.2.3,59.90245223967743,2023-11-06 14h27.06.455370 +0100,
