Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Data_transparency.started,key_resp_data_transp.started,Data_transparency.stopped,key_resp_data_transp.keys,key_resp_data_transp.rt,key_resp_data_transp.duration,instructions.started,instructions.stopped,trial.started,target_show.started,target_show.stopped,target_find.started,mouse.started,trial.stopped,target_position_x_y,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,feedback.started,feedback.stopped,instructions_survey.started,instructions_survey.stopped,instructions_ratings.started,instructions_ratings.stopped,survey_ratings.started,survey_ratings.stopped,furcht.response,liebenswert.response,rated_image,survey_gen.started,survey_gen.stopped,age.text,gender.response,survey_games.started,survey_games.stopped,pc_frequency.response,reaction_games_frequency.response,instructions_neuro.started,instructions_neuro.stopped,survey_neuro.started,survey_neuro.stopped,neuro_1_rev.response,neuro_2.response,neuro_3.response,neuro_4_rev.response,survey_fear.started,survey_fear.stopped,specific_fear_spider.response,specific_fear_snake.response,thanks.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.01846519999890006,0.035023399999772664,41.682926399998905,z,41.641893099998924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341212,001,2023-11-13_13h16.05.218,Selektive Wahrnehmung,2023.2.3,59.83129966711454,2023-11-13 13h28.28.587559 +0100,
,,,,,,,,,,,,,,,,,41.68298879999929,71.065654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341212,001,2023-11-13_13h16.05.218,Selektive Wahrnehmung,2023.2.3,59.83129966711454,2023-11-13 13h28.28.587559 +0100,
gesicht3,0,0,0,10,,,,,71.19878599999902,,,,,,,,,,71.08464219999951,71.19878599999902,73.21331069999906,74.09533480000027,3.0297396999994817,75.61436409999988,"[300, 0]",[0.3074074074074074],[-0.03981481481481482],[1],[0],[0],[1.5183566000014252],[1],['target_find'],75.61603439999999,76.62988819999919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341212,001,2023-11-13_13h16.05.218,Selektive Wahrnehmung,2023.2.3,59.83129966711454,2023-11-13 13h28.28.587559 +0100,
schiff1,0,1,1,14,,,,,76.67896069999915,,,,,,,,,,76.63050899999871,76.67896069999915,78.67881189999935,79.69548709999981,3.065672700000505,81.19721439999921,"[0, 300]",[0.025925925925925925],[0.2537037037037037],[1],[0],[0],[1.5010997999997926],[1],['target_find'],81.1979811000001,82.21314619999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341212,001,2023-11-13_13h16.05.218,Selektive Wahrnehmung,2023.2.3,59.83129966711454,2023-11-13 13h28.28.587559 +0100,
gesicht2,0,2,2,9,,,,,82.36167569999998,,,,,,,,,,82.21390470000006,82.36167569999998,84.36168980000002,85.26192699999956,3.0488519000009546,86.5808735999999,"[-300, -300]",[-0.25833333333333336],[-0.25555555555555554],[1],[0],[0],[1.318145100000038],[1],['target_find'],86.58192499999859,87.59600339999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341212,001,2023-11-13_13h16.05.218,Selektive Wahrnehmung,2023.2.3,59.83129966711454,2023-11-13 13h28.28.587559 +0100,
spinne1,0,3,3,0,,,,,87.66463909999948,,,,,,,,,,87.59642619999977,87.66463909999948,89.67849209999986,90.64488399999937,3.048964999999953,92.21436019999965,"[0, 300]",[-0.001851851851851852],[0.25833333333333336],[1],[0],[0],[1.5686464999998861],[1],['target_find'],92.21550639999987,93.22835479999958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341212,001,2023-11-13_13h16.05.218,Selektive Wahrnehmung,2023.2.3,59.83129966711454,2023-11-13 13h28.28.587559 +0100,
gruppe1,0,4,4,6,,,,,93.27784579999934,,,,,,,,,,93.22873329999857,93.27784579999934,95.27809619999971,96.24479819999942,3.0167573999988235,97.03230389999953,"[300, 0]",[0.2564814814814815],[-0.03333333333333333],[1],[0],[0],[0.7862404000006791],[1],['target_find'],97.03371209999932,98.04696820000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341212,001,2023-11-13_13h16.05.218,Selektive Wahrnehmung,2023.2.3,59.83129966711454,2023-11-13 13h28.28.587559 +0100,
person1,0,5,5,4,,,,,98.09742039999946,,,,,,,,,,98.04773989999921,98.09742039999946,100.11257269999987,101.09466649999922,2.9990337999988697,102.46524729999874,"[300, 300]",[0.31203703703703706],[0.25092592592592594],[1],[0],[0],[1.418257100000119],[1],['target_find'],102.46574270000019,103.47910989999946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341212,001,2023-11-13_13h16.05.218,Selektive Wahrnehmung,2023.2.3,59.83129966711454,2023-11-13 13h28.28.587559 +0100,
schlange1,0,6,6,2,,,,,103.5275485000002,,,,,,,,,,103.47996950000015,103.5275485000002,105.52766239999983,106.51057930000024,3.031516400000328,108.24715649999962,"[-300, -300]",[-0.24444444444444444],[-0.25277777777777777],[1],[0],[0],[1.735789799999111],[1],['target_find'],108.24832909999895,109.26338239999859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341212,001,2023-11-13_13h16.05.218,Selektive Wahrnehmung,2023.2.3,59.83129966711454,2023-11-13 13h28.28.587559 +0100,
spinne2,0,7,7,1,,,,,109.46078060000036,,,,,,,,,,109.26413739999953,109.46078060000036,111.4619547000002,112.31066779999855,3.0473547000001417,113.56302969999888,"[-300, -300]",[-0.2462962962962963],[-0.25925925925925924],[1],[0],[0],[1.2516306999987137],[1],['target_find'],113.56412850000015,114.57846830000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341212,001,2023-11-13_13h16.05.218,Selektive Wahrnehmung,2023.2.3,59.83129966711454,2023-11-13 13h28.28.587559 +0100,
gruppe2,0,8,8,7,,,,,114.66057759999967,,,,,,,,,,114.57923259999916,114.66057759999967,116.66053749999992,117.62708989999919,3.048690699999497,118.83079410000028,"[300, 300]",[0.24722222222222223],[0.2518518518518518],[1],[0],[0],[1.2029255999987072],[1],['target_find'],118.83196099999986,119.84525219999887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341212,001,2023-11-13_13h16.05.218,Selektive Wahrnehmung,2023.2.3,59.83129966711454,2023-11-13 13h28.28.587559 +0100,
gesicht1,0,9,9,8,,,,,119.91167870000027,,,,,,,,,,119.8459426999998,119.91167870000027,121.91032009999981,122.86024689999977,3.0150469000000157,123.82920689999992,"[0, -300]",[0.02962962962962963],[-0.27870370370370373],[1],[0],[0],[0.968220000000656],[1],['target_find'],123.83013749999918,124.84451739999895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341212,001,2023-11-13_13h16.05.218,Selektive Wahrnehmung,2023.2.3,59.83129966711454,2023-11-13 13h28.28.587559 +0100,
schlange2,0,10,10,3,,,,,124.89348029999928,,,,,,,,,,124.84515439999996,124.89348029999928,126.89344689999962,127.89328639999985,3.048840499999642,129.46187759999884,"[0, -300]",[0.007407407407407408],[-0.26944444444444443],[1],[0],[0],[1.5678683999994973],[1],['target_find'],129.46265109999877,130.47758189999877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341212,001,2023-11-13_13h16.05.218,Selektive Wahrnehmung,2023.2.3,59.83129966711454,2023-11-13 13h28.28.587559 +0100,
auto1,0,11,11,12,,,,,130.5097952999986,,,,,,,,,,130.4782400999993,130.5097952999986,132.5099551000003,133.50970570000027,2.9990140999998403,134.39452269999856,"[300, 0]",[0.2898148148148148],[-0.041666666666666664],[1],[0],[0],[0.9170627000003151],[1],['target_find'],134.39504549999947,135.41023270000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341212,001,2023-11-13_13h16.05.218,Selektive Wahrnehmung,2023.2.3,59.83129966711454,2023-11-13 13h28.28.587559 +0100,
flugzeug1,0,12,12,13,,,,,135.4461027999987,,,,,,,,,,135.41051049999987,135.4461027999987,137.4607844000002,138.42739989999973,3.01726570000028,140.913237499999,"[300, -300]",[0.21574074074074073],[-0.25462962962962965],[1],[0],[0],[2.4850026999993133],[1],['target_find'],140.91438449999987,141.92695470000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341212,001,2023-11-13_13h16.05.218,Selektive Wahrnehmung,2023.2.3,59.83129966711454,2023-11-13 13h28.28.587559 +0100,
person2,0,13,13,5,,,,,141.95951689999856,,,,,,,,,,141.92749000000003,141.95951689999856,143.95948320000025,144.9424925000003,3.015595000000758,146.07829999999922,"[-300, 300]",[-0.2074074074074074],[0.2675925925925926],[1],[0],[0],[1.135065599999507],[1],['target_find'],146.0794666999991,147.0935688999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341212,001,2023-11-13_13h16.05.218,Selektive Wahrnehmung,2023.2.3,59.83129966711454,2023-11-13 13h28.28.587559 +0100,
zug1,0,14,14,15,,,,,147.12559829999918,,,,,,,,,,147.09420929999942,147.12559829999918,149.12544809999963,150.1424508,3.0489526000001206,151.4439179000001,"[-300, -300]",[-0.26296296296296295],[-0.22685185185185186],[1],[0],[0],[1.3008484000001772],[1],['target_find'],151.44463509999878,152.4596077999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341212,001,2023-11-13_13h16.05.218,Selektive Wahrnehmung,2023.2.3,59.83129966711454,2023-11-13 13h28.28.587559 +0100,
gesicht4,0,15,15,11,,,,,152.49234739999883,,,,,,,,,,152.46004100000027,152.49234739999883,154.4922104999987,155.47562199999993,3.0161079999998037,156.39519029999974,"[0, -300]",[-0.07222222222222222],[-0.2759259259259259],[1],[0],[0],[0.9187374000011914],[1],['target_find'],156.3962522999991,157.40899089999948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341212,001,2023-11-13_13h16.05.218,Selektive Wahrnehmung,2023.2.3,59.83129966711454,2023-11-13 13h28.28.587559 +0100,
zug1,1,0,16,15,,,,,157.44339740000032,,,,,,,,,,157.40927439999905,157.44339740000032,159.44337749999977,160.42527820000032,3.016384000000471,164.14389709999887,"[0, -300]",[-0.007407407407407408],[-0.03611111111111111],[1],[0],[0],[3.717881300000954],[0],['dis2'],164.1448982999991,165.15898679999918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341212,001,2023-11-13_13h16.05.218,Selektive Wahrnehmung,2023.2.3,59.83129966711454,2023-11-13 13h28.28.587559 +0100,
auto1,1,1,17,12,,,,,165.19169539999893,,,,,,,,,,165.15924519999862,165.19169539999893,167.19297099999858,168.19165090000024,3.032945799999652,169.0444252999987,"[300, -300]",[0.275],[-0.3101851851851852],[1],[0],[0],[0.8516952999998466],[1],['target_find'],169.04574289999982,170.0590943999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341212,001,2023-11-13_13h16.05.218,Selektive Wahrnehmung,2023.2.3,59.83129966711454,2023-11-13 13h28.28.587559 +0100,
person1,1,2,18,4,,,,,170.0915200999989,,,,,,,,,,170.05962349999936,170.0915200999989,172.09150699999918,173.0745053999999,3.015468300000066,174.19430569999895,"[-300, 300]",[-0.28055555555555556],[0.28703703703703703],[1],[0],[0],[1.1189768999993248],[1],['target_find'],174.19547619999867,175.21015369999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341212,001,2023-11-13_13h16.05.218,Selektive Wahrnehmung,2023.2.3,59.83129966711454,2023-11-13 13h28.28.587559 +0100,
