Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Data_transparency.started,key_resp_data_transp.started,Data_transparency.stopped,key_resp_data_transp.keys,key_resp_data_transp.rt,key_resp_data_transp.duration,instructions.started,instructions.stopped,trial.started,target_show.started,target_show.stopped,target_find.started,mouse.started,trial.stopped,target_position_x_y,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,feedback.started,feedback.stopped,instructions_survey.started,instructions_survey.stopped,instructions_ratings.started,instructions_ratings.stopped,survey_ratings.started,survey_ratings.stopped,furcht.response,liebenswert.response,rated_image,survey_gen.started,survey_gen.stopped,age.text,gender.response,survey_games.started,survey_games.stopped,pc_frequency.response,reaction_games_frequency.response,instructions_neuro.started,instructions_neuro.stopped,survey_neuro.started,survey_neuro.stopped,neuro_1_rev.response,neuro_2.response,neuro_3.response,neuro_4_rev.response,survey_fear.started,survey_fear.stopped,specific_fear_spider.response,specific_fear_snake.response,thanks.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.024538999889045954,0.04107719985768199,39.388328900095075,z,39.332842600066215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,039042,001,2023-11-06_14h26.32.269,Selektive Wahrnehmung,2023.2.3,60.01179839543018,2023-11-06 14h27.00.981224 +0100,
,,,,,,,,,,,,,,,,,39.38838859973475,63.67307169968262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,039042,001,2023-11-06_14h26.32.269,Selektive Wahrnehmung,2023.2.3,60.01179839543018,2023-11-06 14h27.00.981224 +0100,
gesicht3,0,0,0,10,,,,,63.73826050013304,,,,,,,,,,63.68986519984901,63.73826050013304,65.7531518000178,66.70306550012901,3.030070999637246,67.8217806997709,"[-300, -300]",[-0.29074074074074074],[-0.3425925925925926],[1],[0],[0],[1.1179462000727654],[1],['target_find'],67.82378929993138,68.8362118001096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,039042,001,2023-11-06_14h26.32.269,Selektive Wahrnehmung,2023.2.3,60.01179839543018,2023-11-06 14h27.00.981224 +0100,
gesicht1,0,1,1,8,,,,,68.96823270013556,,,,,,,,,,68.83699150010943,68.96823270013556,70.96813949989155,71.88455339986831,3.04839689983055,72.8543636999093,"[-300, 0]",[-0.24351851851851852],[0.006481481481481481],[1],[0],[0],[0.9690537001006305],[1],['target_find'],72.85542869986966,73.87021909980103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,039042,001,2023-11-06_14h26.32.269,Selektive Wahrnehmung,2023.2.3,60.01179839543018,2023-11-06 14h27.00.981224 +0100,
schlange1,0,2,2,2,,,,,73.90452939970419,,,,,,,,,,73.8706967998296,73.90452939970419,75.919396399986,76.91801499994472,3.047873199917376,78.63835359970108,"[0, -300]",[0.06018518518518518],[-0.25277777777777777],[1],[0],[0],[1.7196191996335983],[1],['target_find'],78.63933529984206,79.65353389969096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,039042,001,2023-11-06_14h26.32.269,Selektive Wahrnehmung,2023.2.3,60.01179839543018,2023-11-06 14h27.00.981224 +0100,
person1,0,3,3,4,,,,,79.7874306999147,,,,,,,,,,79.65414839982986,79.7874306999147,81.80245930003002,82.7010164000094,3.04766169982031,83.70407600002363,"[300, -300]",[0.24166666666666667],[-0.362962962962963],[1],[0],[0],[1.0019085998646915],[1],['target_find'],83.70547639997676,84.71863409969956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,039042,001,2023-11-06_14h26.32.269,Selektive Wahrnehmung,2023.2.3,60.01179839543018,2023-11-06 14h27.00.981224 +0100,
spinne2,0,4,4,1,,,,,84.90060589974746,,,,,,,,,,84.719282399863,84.90060589974746,86.9004438999109,87.78404249995947,3.0654770000837743,89.06989669986069,"[300, 300]",[0.22037037037037038],[0.262037037037037],[1],[0],[0],[1.2851142999716103],[1],['target_find'],89.07086919993162,90.08652259968221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,039042,001,2023-11-06_14h26.32.269,Selektive Wahrnehmung,2023.2.3,60.01179839543018,2023-11-06 14h27.00.981224 +0100,
schlange2,0,5,5,3,,,,,90.16866050008684,,,,,,,,,,90.08718389971182,90.16866050008684,92.1686527999118,93.18524429993704,3.098801600281149,94.65348559990525,"[300, -300]",[0.23055555555555557],[-0.35462962962962963],[1],[0],[0],[1.4674305999651551],[1],['target_find'],94.65463420003653,95.66838239971548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,039042,001,2023-11-06_14h26.32.269,Selektive Wahrnehmung,2023.2.3,60.01179839543018,2023-11-06 14h27.00.981224 +0100,
spinne1,0,6,6,0,,,,,95.71702930005267,,,,,,,,,,95.6691458998248,95.71702930005267,97.7170603997074,98.71692689973861,3.0486281998455524,99.77169009996578,"[-300, -300]",[-0.34074074074074073],[-0.287962962962963],[1],[0],[0],[1.053953000344336],[1],['target_find'],99.7728532999754,100.78543369984254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,039042,001,2023-11-06_14h26.32.269,Selektive Wahrnehmung,2023.2.3,60.01179839543018,2023-11-06 14h27.00.981224 +0100,
schiff1,0,7,7,14,,,,,100.83644809992984,,,,,,,,,,100.78617769991979,100.83644809992984,102.8514120997861,103.80034539988264,3.0151321003213525,104.48639780003577,"[-300, -300]",[-0.2324074074074074],[-0.19444444444444445],[1],[0],[0],[0.6849099998362362],[1],['target_find'],104.48769249999896,105.50078020012006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,039042,001,2023-11-06_14h26.32.269,Selektive Wahrnehmung,2023.2.3,60.01179839543018,2023-11-06 14h27.00.981224 +0100,
