Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Data_transparency.started,key_resp_data_transp.started,Data_transparency.stopped,key_resp_data_transp.keys,key_resp_data_transp.rt,key_resp_data_transp.duration,instructions.started,instructions.stopped,trial.started,target_show.started,target_show.stopped,target_find.started,mouse.started,trial.stopped,target_position_x_y,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,feedback.started,feedback.stopped,instructions_survey.started,instructions_survey.stopped,instructions_ratings.started,instructions_ratings.stopped,survey_ratings.started,survey_ratings.stopped,furcht.response,liebenswert.response,rated_image,survey_gen.started,survey_gen.stopped,age.text,gender.response,survey_games.started,survey_games.stopped,pc_frequency.response,reaction_games_frequency.response,instructions_neuro.started,instructions_neuro.stopped,survey_neuro.started,survey_neuro.stopped,neuro_1_rev.response,neuro_2.response,neuro_3.response,neuro_4_rev.response,survey_fear.started,survey_fear.stopped,specific_fear_spider.response,specific_fear_snake.response,thanks.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.00456077962735435,0.016828292647915077,40.1250906310579,z,40.10046657395651,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618802,001,2023-11-06_13h59.42.654,Selektive Wahrnehmung,2023.2.3,59.93319024622397,2023-11-06 14h00.51.927290 +0100,
,,,,,,,,,,,,,,,,,40.125155484354764,55.4740693480835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618802,001,2023-11-06_13h59.42.654,Selektive Wahrnehmung,2023.2.3,59.93319024622397,2023-11-06 14h00.51.927290 +0100,
flugzeug1,0,0,0,13,,,,,55.52312233351222,,,,,,,,,,55.490969320691875,55.52312233351222,57.52439180834517,58.47796993253178,3.0040866110084607,59.51231288188319,"[300, 0]",[0.2796296296296296],[0.025],[1],[0],[0],[1.033718309707183],[1],['target_find'],59.51329592132424,60.52814391287757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618802,001,2023-11-06_13h59.42.654,Selektive Wahrnehmung,2023.2.3,59.93319024622397,2023-11-06 14h00.51.927290 +0100,
person1,0,1,1,4,,,,,60.82418186001996,,,,,,,,,,60.52864908592346,60.82418186001996,62.82970320798995,63.53138600880993,3.003377491411811,64.44949080206607,"[0, -300]",[0.05],[-0.23148148148148148],[1],[0],[0],[0.9174431758547144],[1],['target_find'],64.45003579731201,65.46660809010609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618802,001,2023-11-06_13h59.42.654,Selektive Wahrnehmung,2023.2.3,59.93319024622397,2023-11-06 14h00.51.927290 +0100,
gesicht3,0,2,2,10,,,,,65.53959307969671,,,,,,,,,,65.46718920977582,65.53959307969671,67.55124391751451,68.46891464879445,3.0024536163818993,69.33764930124744,"[-300, -300]",[-0.24351851851851852],[-0.29814814814814816],[1],[0],[0],[0.8680829906006693],[1],['target_find'],69.33813228763938,70.35466930934308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618802,001,2023-11-06_13h59.42.654,Selektive Wahrnehmung,2023.2.3,59.93319024622397,2023-11-06 14h00.51.927290 +0100,
schlange2,0,3,3,3,,,,,70.61362169536187,,,,,,,,,,70.35514006463018,70.61362169536187,72.62308771664175,73.36048932380982,3.0060066099158576,75.00999082098133,"[-300, 0]",[-0.23981481481481481],[-0.024074074074074074],[1],[0],[0],[1.6487821375812928],[1],['target_find'],75.01051647401619,76.02670362925164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618802,001,2023-11-06_13h59.42.654,Selektive Wahrnehmung,2023.2.3,59.93319024622397,2023-11-06 14h00.51.927290 +0100,
schiff1,0,4,4,14,,,,,76.27819418840409,,,,,,,,,,76.02698067798337,76.27819418840409,78.27890302355627,79.0313548621616,3.0048199083685176,79.84840229068504,"[300, 0]",[0.2675925925925926],[-0.040740740740740744],[1],[0],[0],[0.8164620421903237],[1],['target_find'],79.84892310816758,80.86517141892364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618802,001,2023-11-06_13h59.42.654,Selektive Wahrnehmung,2023.2.3,59.93319024622397,2023-11-06 14h00.51.927290 +0100,
person2,0,5,5,5,,,,,80.93911868352188,,,,,,,,,,80.86564473421095,80.93911868352188,82.9501761705651,83.86968213635737,3.0046614729035355,84.75413404209212,"[-300, -300]",[-0.31666666666666665],[-0.31574074074074077],[1],[0],[0],[0.8837055239364418],[1],['target_find'],84.75488611277433,85.770155935199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618802,001,2023-11-06_13h59.42.654,Selektive Wahrnehmung,2023.2.3,59.93319024622397,2023-11-06 14h00.51.927290 +0100,
zug1,0,6,6,15,,,,,85.89490437978748,,,,,,,,,,85.77063294826075,85.89490437978748,87.90480929859586,88.77492265248839,3.004931126084557,89.6758379088551,"[0, 300]",[0.002777777777777778],[0.22870370370370371],[1],[0],[0],[0.9001478256923292],[1],['target_find'],89.67664317062008,90.69207825517151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618802,001,2023-11-06_13h59.42.654,Selektive Wahrnehmung,2023.2.3,59.93319024622397,2023-11-06 14h00.51.927290 +0100,
gesicht4,0,7,7,11,,,,,90.76653609725872,,,,,,,,,,90.69270061926363,90.76653609725872,92.77632610057844,93.69527882224065,3.0033564425339137,94.46437036693533,"[-300, 0]",[-0.24444444444444444],[-0.032407407407407406],[1],[0],[0],[0.7681597052251163],[1],['target_find'],94.46539408190802,95.47967176267412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618802,001,2023-11-06_13h59.42.654,Selektive Wahrnehmung,2023.2.3,59.93319024622397,2023-11-06 14h00.51.927290 +0100,
