Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Data_transparency.started,key_resp_data_transp.started,Data_transparency.stopped,key_resp_data_transp.keys,key_resp_data_transp.rt,key_resp_data_transp.duration,instructions.started,instructions.stopped,trial.started,target_show.started,target_show.stopped,target_find.started,mouse.started,trial.stopped,target_position_x_y,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,feedback.started,feedback.stopped,instructions_survey.started,instructions_survey.stopped,instructions_ratings.started,instructions_ratings.stopped,survey_ratings.started,survey_ratings.stopped,furcht.response,liebenswert.response,rated_image,survey_gen.started,survey_gen.stopped,age.text,gender.response,survey_games.started,survey_games.stopped,pc_frequency.response,reaction_games_frequency.response,instructions_neuro.started,instructions_neuro.stopped,survey_neuro.started,survey_neuro.stopped,neuro_1_rev.response,neuro_2.response,neuro_3.response,neuro_4_rev.response,survey_fear.started,survey_fear.stopped,specific_fear_spider.response,specific_fear_snake.response,thanks.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.024638100003357977,0.05701220000628382,46.3877313999983,z,46.2978433999815,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625308,001,2023-11-13_12h53.38.995,Selektive Wahrnehmung,2023.2.3,60.05208917680316,2023-11-13 13h02.00.950362 +0100,
,,,,,,,,,,,,,,,,,46.387760699988576,75.20286059999489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625308,001,2023-11-13_12h53.38.995,Selektive Wahrnehmung,2023.2.3,60.05208917680316,2023-11-13 13h02.00.950362 +0100,
schlange2,0,0,0,3,,,,,75.25419489998603,,,,,,,,,,75.21103959999164,75.25419489998603,77.26850710000144,78.20086039998569,3.014607699995395,79.89940209998167,"[-300, -300]",[-0.32407407407407407],[-0.26296296296296295],[1],[0],[0],[1.6814771999779623],[1],['target_find'],79.90033689999836,80.90112599998247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625308,001,2023-11-13_12h53.38.995,Selektive Wahrnehmung,2023.2.3,60.05208917680316,2023-11-13 13h02.00.950362 +0100,
auto1,0,1,1,12,,,,,80.93411010000273,,,,,,,,,,80.90135149998241,80.93411010000273,82.93394299998181,83.91730500000995,3.016261199984001,84.61986229999457,"[-300, 0]",[-0.2712962962962963],[0.14351851851851852],[1],[0],[0],[0.7020884000230581],[0],['dis3'],84.6203555999964,85.63554319998366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625308,001,2023-11-13_12h53.38.995,Selektive Wahrnehmung,2023.2.3,60.05208917680316,2023-11-13 13h02.00.950362 +0100,
gesicht4,0,2,2,11,,,,,85.6702815000026,,,,,,,,,,85.63577150000492,85.6702815000026,87.68504809998558,88.65046579999034,3.0149992000078782,89.36910740000894,"[0, 300]",[0.01574074074074074],[0.3287037037037037],[1],[0],[0],[0.7180866000126116],[1],['target_find'],89.36960159998853,90.38395299998228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625308,001,2023-11-13_12h53.38.995,Selektive Wahrnehmung,2023.2.3,60.05208917680316,2023-11-13 13h02.00.950362 +0100,
gesicht3,0,3,3,10,,,,,90.48361809999915,,,,,,,,,,90.3841707999818,90.48361809999915,92.48388519999571,93.41702580000856,3.033146300003864,93.98747570000705,"[-300, 0]",[-0.2935185185185185],[-0.01574074074074074],[1],[0],[0],[0.5695224000082817],[1],['target_find'],93.98886680000578,95.00273720000405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625308,001,2023-11-13_12h53.38.995,Selektive Wahrnehmung,2023.2.3,60.05208917680316,2023-11-13 13h02.00.950362 +0100,
person1,0,4,4,4,,,,,95.13695690000895,,,,,,,,,,95.00358679998317,95.13695690000895,97.15154140000232,98.0668377999973,3.0641466999950353,98.7845912000048,"[300, -300]",[0.3638888888888889],[-0.49907407407407406],[1],[0],[0],[0.7172941000026185],[],[],98.7850982999953,99.80126449998352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625308,001,2023-11-13_12h53.38.995,Selektive Wahrnehmung,2023.2.3,60.05208917680316,2023-11-13 13h02.00.950362 +0100,
zug1,0,5,5,15,,,,,99.91669809998712,,,,,,,,,,99.80183129999205,99.91669809998712,101.9170213000034,102.8667592999991,3.0655629000102635,104.08713749999879,"[-300, 0]",[-0.2777777777777778],[-0.03333333333333333],[1],[0],[0],[1.2195660000143107],[1],['target_find'],104.08828969998285,105.10124260000885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625308,001,2023-11-13_12h53.38.995,Selektive Wahrnehmung,2023.2.3,60.05208917680316,2023-11-13 13h02.00.950362 +0100,
flugzeug1,0,6,6,13,,,,,105.14999440000975,,,,,,,,,,105.10197859999607,105.14999440000975,107.15009609999834,108.1500873999903,3.0489148999913596,109.43578249998973,"[300, -300]",[0.21388888888888888],[-0.2953703703703704],[1],[0],[0],[1.2849577000015415],[1],['target_find'],109.43672430000152,110.4512790000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625308,001,2023-11-13_12h53.38.995,Selektive Wahrnehmung,2023.2.3,60.05208917680316,2023-11-13 13h02.00.950362 +0100,
gruppe2,0,7,7,7,,,,,110.59988520000479,,,,,,,,,,110.4520174000063,110.59988520000479,112.60099579999223,113.48306949998369,3.0318596999859437,114.30279190000147,"[300, -300]",[0.36666666666666664],[-0.30833333333333335],[1],[0],[0],[0.8192453000228852],[1],['target_find'],114.30328739999095,115.31740430000355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625308,001,2023-11-13_12h53.38.995,Selektive Wahrnehmung,2023.2.3,60.05208917680316,2023-11-13 13h02.00.950362 +0100,
spinne1,0,8,8,0,,,,,115.3497997999948,,,,,,,,,,115.31797450000886,115.3497997999948,117.34954239998478,118.36603060000925,3.04869840000174,118.92004559998168,"[300, 300]",[-0.000925925925925926],[-0.010185185185185186],[1],[0],[0],[0.5530598000041209],[0],['dis2'],118.92144999999437,119.9342856000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625308,001,2023-11-13_12h53.38.995,Selektive Wahrnehmung,2023.2.3,60.05208917680316,2023-11-13 13h02.00.950362 +0100,
schlange1,0,9,9,2,,,,,119.98600319999969,,,,,,,,,,119.93493359998683,119.98600319999969,122.00062330000219,122.94966849999037,3.015455699991435,123.71904809999978,"[0, 300]",[-0.06666666666666667],[0.2537037037037037],[1],[0],[0],[0.7685741999885067],[1],['target_find'],123.72040530000231,124.73387199998251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625308,001,2023-11-13_12h53.38.995,Selektive Wahrnehmung,2023.2.3,60.05208917680316,2023-11-13 13h02.00.950362 +0100,
schiff1,0,10,10,14,,,,,124.84940700000152,,,,,,,,,,124.73450299998512,124.84940700000152,126.84923180000624,127.78271259999019,3.048915699997451,128.43570919998456,"[0, 300]",[0.016666666666666666],[0.16018518518518518],[1],[0],[0],[0.6520348000049125],[1],['target_find'],128.43713199999183,129.45038190000923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625308,001,2023-11-13_12h53.38.995,Selektive Wahrnehmung,2023.2.3,60.05208917680316,2023-11-13 13h02.00.950362 +0100,
person2,0,11,11,5,,,,,129.55216220000875,,,,,,,,,,129.45096580000245,129.55216220000875,131.56675480000558,132.49914790000184,3.0488374999840744,133.2182080000057,"[0, -300]",[0.03425925925925926],[-0.2037037037037037],[1],[0],[0],[0.7183468999864999],[1],['target_find'],133.21919509998406,134.23321109998506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625308,001,2023-11-13_12h53.38.995,Selektive Wahrnehmung,2023.2.3,60.05208917680316,2023-11-13 13h02.00.950362 +0100,
gesicht2,0,12,12,9,,,,,134.2658470000024,,,,,,,,,,134.23368119998486,134.2658470000024,136.26581109999097,137.26530629998888,3.032192300015595,138.1854684999853,"[0, 300]",[0.02962962962962963],[0.27685185185185185],[1],[0],[0],[0.9192452999996021],[1],['target_find'],138.18676350000896,139.20001179998508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625308,001,2023-11-13_12h53.38.995,Selektive Wahrnehmung,2023.2.3,60.05208917680316,2023-11-13 13h02.00.950362 +0100,
gesicht1,0,13,13,8,,,,,139.23564880000777,,,,,,,,,,139.2005727000069,139.23564880000777,141.2496109000058,142.21575979999034,3.016020799987018,143.06836800000747,"[300, -300]",[0.26944444444444443],[-0.31666666666666665],[1],[0],[0],[0.851543099997798],[1],['target_find'],143.0695347999863,144.08308069998748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625308,001,2023-11-13_12h53.38.995,Selektive Wahrnehmung,2023.2.3,60.05208917680316,2023-11-13 13h02.00.950362 +0100,
spinne2,0,14,14,1,,,,,144.28217900000163,,,,,,,,,,144.08366529998602,144.28217900000163,146.28207290000864,147.11528269998962,2.9990598000003956,147.71749969999655,"[300, -300]",[0.24814814814814815],[-0.2490740740740741],[1],[0],[0],[0.634520399995381],[1],['target_find'],147.71802289999323,148.7336753999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625308,001,2023-11-13_12h53.38.995,Selektive Wahrnehmung,2023.2.3,60.05208917680316,2023-11-13 13h02.00.950362 +0100,
gruppe1,0,15,15,6,,,,,148.79978269999265,,,,,,,,,,148.73415579998982,148.79978269999265,150.81616369998665,151.8018138000043,3.0682212999963667,153.0344858999888,"[-300, -300]",[-0.14351851851851852],[-0.28055555555555556],[1],[0],[0],[1.2319289000006393],[1],['target_find'],153.03538640000625,154.0492285999935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625308,001,2023-11-13_12h53.38.995,Selektive Wahrnehmung,2023.2.3,60.05208917680316,2023-11-13 13h02.00.950362 +0100,
gesicht1,1,0,16,8,,,,,154.08170539999264,,,,,,,,,,154.04973530001007,154.08170539999264,156.08160370000405,157.09839739999734,2.999343700008467,157.9012240000011,"[0, -300]",[-0.003703703703703704],[-0.3138888888888889],[1],[0],[0],[0.8508268999867141],[1],['target_find'],157.9025343999965,158.9167582000082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625308,001,2023-11-13_12h53.38.995,Selektive Wahrnehmung,2023.2.3,60.05208917680316,2023-11-13 13h02.00.950362 +0100,
person1,1,1,17,4,,,,,158.95154929999262,,,,,,,,,,158.91753929998958,158.95154929999262,160.96500709999236,161.93115359998774,3.0144516000000294,163.06714090000605,"[-300, 300]",[-0.3287037037037037],[0.2833333333333333],[1],[0],[0],[1.1351776999945287],[1],['target_find'],163.06817519999458,164.08240660000592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625308,001,2023-11-13_12h53.38.995,Selektive Wahrnehmung,2023.2.3,60.05208917680316,2023-11-13 13h02.00.950362 +0100,
schlange1,1,2,18,2,,,,,164.13128050000523,,,,,,,,,,164.08304679999128,164.13128050000523,166.13134359999094,167.1146349000046,3.0323098999797367,169.06717629998457,"[300, 0]",[0.24722222222222223],[-0.0787037037037037],[1],[0],[0],[1.9517635999945924],[1],['target_find'],169.0681493000011,170.08322309999494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625308,001,2023-11-13_12h53.38.995,Selektive Wahrnehmung,2023.2.3,60.05208917680316,2023-11-13 13h02.00.950362 +0100,
gesicht4,1,3,19,11,,,,,170.1157406999846,,,,,,,,,,170.08376670000143,170.1157406999846,172.1158027999918,173.11453249998158,3.0316130999999586,173.7342110000027,"[300, -300]",[0.22685185185185186],[-0.2222222222222222],[1],[0],[0],[0.6188755999901332],[1],['target_find'],173.73472519998904,174.7488861999882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625308,001,2023-11-13_12h53.38.995,Selektive Wahrnehmung,2023.2.3,60.05208917680316,2023-11-13 13h02.00.950362 +0100,
person2,1,4,20,5,,,,,174.79735320000327,,,,,,,,,,174.74961639998946,174.79735320000327,176.79727209999692,177.7808882999816,3.032090699998662,178.35120020000613,"[-300, 0]",[-0.34074074074074073],[0.018518518518518517],[1],[0],[0],[0.5693503999791574],[1],['target_find'],178.35259490000317,179.36527119998937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625308,001,2023-11-13_12h53.38.995,Selektive Wahrnehmung,2023.2.3,60.05208917680316,2023-11-13 13h02.00.950362 +0100,
