Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Data_transparency.started,key_resp_data_transp.started,Data_transparency.stopped,key_resp_data_transp.keys,key_resp_data_transp.rt,key_resp_data_transp.duration,instructions.started,instructions.stopped,trial.started,trial.stopped,target_position_x_y,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,feedback.started,feedback.stopped,instructions_survey.started,instructions_survey.stopped,instructions_ratings.started,instructions_ratings.stopped,survey_ratings.started,survey_ratings.stopped,furcht.response,liebenswert.response,rated_image,survey_gen.started,survey_gen.stopped,age.text,gender.response,survey_games.started,survey_games.stopped,pc_frequency.response,reaction_games_frequency.response,instructions_neuro.started,instructions_neuro.stopped,survey_neuro.started,survey_neuro.stopped,neuro_1_rev.response,neuro_2.response,neuro_3.response,neuro_4_rev.response,survey_fear.started,survey_fear.stopped,specific_fear_spider.response,specific_fear_snake.response,thanks.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
schlange2,0,12,12,3,,,,,407.6820844000031,,,,,,,,,,405.01223120000213,405.12051849998534,"[0, -300]",[],[],[],[],[],[],[],[],405.12092409998877,405.1272946000099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
gruppe1,0,13,13,6,,,,,407.6820844000031,,,,,,,,,,405.1274721999944,405.15370140000596,"[0, -300]",[],[],[],[],[],[],[],[],405.15425950000645,405.15954839999904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
spinne2,0,14,14,1,,,,,407.6820844000031,,,,,,,,,,405.1597211000044,405.3231278999883,"[0, 300]",[],[],[],[],[],[],[],[],405.32353319998947,405.32900609998615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
gesicht4,0,15,15,11,,,,,407.6820844000031,,,,,,,,,,405.32919369998854,405.3609242000093,"[300, -300]",[],[],[],[],[],[],[],[],405.3613228999893,405.3694209000096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
zug1,1,0,16,15,,,,,407.6820844000031,,,,,,,,,,405.36960279999766,405.3879382000014,"[-300, -300]",[],[],[],[],[],[],[],[],405.3883370999829,405.3937663999968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
spinne2,1,1,17,1,,,,,407.6820844000031,,,,,,,,,,405.39394559999346,405.5441107999941,"[0, 300]",[],[],[],[],[],[],[],[],405.54451479998534,405.55210219998844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
flugzeug1,1,2,18,13,,,,,407.6820844000031,,,,,,,,,,405.55229099999997,405.5985645999899,"[0, 300]",[],[],[],[],[],[],[],[],405.5990290000045,405.604562499997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
person1,1,3,19,4,,,,,407.6820844000031,,,,,,,,,,405.60475399999996,405.62167779999436,"[-300, 0]",[],[],[],[],[],[],[],[],405.6220706999884,405.6310191999946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
schlange2,1,4,20,3,,,,,407.6820844000031,,,,,,,,,,405.63120129998424,405.6476019999827,"[300, -300]",[],[],[],[],[],[],[],[],405.6479954000097,405.65379039998516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
gruppe2,1,5,21,7,,,,,407.6820844000031,,,,,,,,,,405.6539919000061,405.6724159999867,"[-300, 0]",[],[],[],[],[],[],[],[],405.6728092999838,405.6787808999943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
auto1,1,6,22,12,,,,,407.6820844000031,,,,,,,,,,405.6789630999847,405.7002782000054,"[0, 300]",[],[],[],[],[],[],[],[],405.7006759000069,405.70835219998844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
spinne1,1,7,23,0,,,,,407.6820844000031,,,,,,,,,,405.7085393999878,405.72964669999783,"[-300, 300]",[],[],[],[],[],[],[],[],405.730038699985,405.73833309998736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
gesicht1,1,8,24,8,,,,,407.6820844000031,,,,,,,,,,405.7385311999824,405.7585243000067,"[-300, 300]",[],[],[],[],[],[],[],[],405.7589330000046,405.76510170000256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
gesicht2,1,9,25,9,,,,,407.6820844000031,,,,,,,,,,405.76530400000047,405.7916644999932,"[0, 300]",[],[],[],[],[],[],[],[],405.7925087999902,405.799623400002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
schlange1,1,10,26,2,,,,,407.6820844000031,,,,,,,,,,405.7998105000006,405.8147098000045,"[-300, 300]",[],[],[],[],[],[],[],[],405.81510909998906,405.82139559998177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
gesicht3,1,11,27,10,,,,,407.6820844000031,,,,,,,,,,405.82159380000667,405.84113600000273,"[300, 300]",[],[],[],[],[],[],[],[],405.8425508000073,405.8500000000058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
gruppe1,1,12,28,6,,,,,407.6820844000031,,,,,,,,,,405.85019140000804,405.8699645999877,"[300, 0]",[],[],[],[],[],[],[],[],405.87044910000986,405.87935350000043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
schiff1,1,13,29,14,,,,,407.6820844000031,,,,,,,,,,405.8795390999876,405.90494489998673,"[0, 300]",[],[],[],[],[],[],[],[],405.90550160000566,405.91100600000937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
person2,1,14,30,5,,,,,407.6820844000031,,,,,,,,,,405.9111864999868,405.9294661000022,"[300, 300]",[],[],[],[],[],[],[],[],405.9298649999837,405.93939270000556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
gesicht4,1,15,31,11,,,,,407.6820844000031,,,,,,,,,,405.93958519998705,405.9568190999853,"[0, 300]",[],[],[],[],[],[],[],[],405.9572219999973,405.9638747999852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
person2,2,0,32,5,,,,,407.6820844000031,,,,,,,,,,405.96495950000826,406.00148679999984,"[0, -300]",[],[],[],[],[],[],[],[],406.0021341999818,406.02218410000205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
gruppe1,2,1,33,6,,,,,407.6820844000031,,,,,,,,,,406.0225288000074,406.07457799999975,"[-300, 300]",[],[],[],[],[],[],[],[],406.0749521999969,406.0809084000066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
auto1,2,2,34,12,,,,,407.6820844000031,,,,,,,,,,406.08110569999553,406.09361609999905,"[-300, 300]",[],[],[],[],[],[],[],[],406.0939884999825,406.0999257999938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
person1,2,3,35,4,,,,,407.6820844000031,,,,,,,,,,406.1001198999875,406.11236830000416,"[-300, 0]",[],[],[],[],[],[],[],[],406.11273940000683,406.11825309999404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
