Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Data_transparency.started,key_resp_data_transp.started,Data_transparency.stopped,key_resp_data_transp.keys,key_resp_data_transp.rt,key_resp_data_transp.duration,instructions.started,instructions.stopped,trial.started,target_show.started,target_show.stopped,target_find.started,mouse.started,trial.stopped,target_position_x_y,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,feedback.started,feedback.stopped,target_find.stopped,instructions_survey.started,instructions_survey.stopped,instructions_ratings.started,instructions_ratings.stopped,survey_ratings.started,survey_ratings.stopped,furcht.response,liebenswert.response,rated_image,survey_gen.started,survey_gen.stopped,age.text,gender.response,survey_games.started,survey_games.stopped,pc_frequency.response,reaction_games_frequency.response,instructions_neuro.started,instructions_neuro.stopped,survey_neuro.started,survey_neuro.stopped,neuro_1_rev.response,neuro_2.response,neuro_3.response,neuro_4_rev.response,survey_fear.started,survey_fear.stopped,specific_fear_spider.response,specific_fear_snake.response,thanks.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.004737000010209158,0.016701600019587204,29.615216800011694,z,29.582874299987452,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155954,001,2023-11-13_14h05.50.644,Selektive Wahrnehmung,2023.2.2,59.86772823418321,2023-11-13 14h05.59.795728 +0100,
,,,,,,,,,,,,,,,,,29.615235200006282,56.69709010000224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155954,001,2023-11-13_14h05.50.644,Selektive Wahrnehmung,2023.2.2,59.86772823418321,2023-11-13 14h05.59.795728 +0100,
person1,0,0,0,4,,,,,56.74949570000172,,,,,,,,,,56.70280120000825,56.74949570000172,58.7574402000173,59.706800300016766,3.0097810000006575,60.66340320001473,"[0, 300]",[0.03981481481481482],[0.24074074074074073],[1],[0],[0],[0.9555540999863297],[1],['target_find'],60.66723620000994,61.67201680000289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155954,001,2023-11-13_14h05.50.644,Selektive Wahrnehmung,2023.2.2,59.86772823418321,2023-11-13 14h05.59.795728 +0100,
zug1,0,1,1,15,,,,,61.69108980000601,,,,,,,,,,61.6722379999992,61.69108980000601,63.706282200000715,64.6866405000037,3.0147738000086974,65.67029850001563,"[-300, 300]",[-0.175],[0.2518518518518518],[1],[0],[0],[0.9831742999958806],[1],['target_find'],65.67071240002406,66.68489319999935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155954,001,2023-11-13_14h05.50.644,Selektive Wahrnehmung,2023.2.2,59.86772823418321,2023-11-13 14h05.59.795728 +0100,
person2,0,2,2,5,,,,,66.7032223000133,,,,,,,,,,66.68511020002188,66.7032223000133,68.70686860001297,69.70321830001194,3.0186425000138115,70.63465040002484,"[-300, 300]",[-0.19537037037037036],[0.2675925925925926],[1],[0],[0],[0.9306740000029095],[1],['target_find'],70.63506369999959,71.64997930001118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155954,001,2023-11-13_14h05.50.644,Selektive Wahrnehmung,2023.2.2,59.86772823418321,2023-11-13 14h05.59.795728 +0100,
spinne1,0,3,3,0,,,,,71.67028800002299,,,,,,,,,,71.65019949999987,71.67028800002299,73.68106250002165,74.66447400001925,3.0146775000030175,76.33253740001237,"[300, 0]",[0.36203703703703705],[-0.05462962962962963],[1],[0],[0],[1.6673967999813613],[1],['target_find'],76.3331218000094,77.34674030001042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155954,001,2023-11-13_14h05.50.644,Selektive Wahrnehmung,2023.2.2,59.86772823418321,2023-11-13 14h05.59.795728 +0100,
schiff1,0,4,4,14,,,,,77.3654587000201,,,,,,,,,,77.34697640000377,77.3654587000201,79.38068620002014,80.35831930002314,3.0116538999718614,81.30040030000964,"[300, 300]",[0.3138888888888889],[0.20092592592592592],[1],[0],[0],[0.9410234999959357],[1],['target_find'],81.3022547000146,82.30932470000698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155954,001,2023-11-13_14h05.50.644,Selektive Wahrnehmung,2023.2.2,59.86772823418321,2023-11-13 14h05.59.795728 +0100,
gesicht2,0,5,5,9,,,,,82.39322950001224,,,,,,,,,,82.31010840000818,82.39322950001224,84.40603800001554,85.31127200002084,3.0019937999895774,86.1533057000197,"[300, -300]",[0.25092592592592594],[-0.23425925925925925],[1],[0],[0],[0.8416039000148885],[1],['target_find'],86.15372210001806,87.16840490000322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155954,001,2023-11-13_14h05.50.644,Selektive Wahrnehmung,2023.2.2,59.86772823418321,2023-11-13 14h05.59.795728 +0100,
schlange2,0,6,6,3,,,,,87.27204510002048,,,,,,,,,,87.16862030001357,87.27204510002048,89.28417250001803,90.18366680000327,3.0153330999892205,90.86751290000393,"[300, 0]",[0.30092592592592593],[-0.05],[1],[0],[0],[0.6834127999900375],[1],['target_find'],90.86792820002302,91.88304919999791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155954,001,2023-11-13_14h05.50.644,Selektive Wahrnehmung,2023.2.2,59.86772823418321,2023-11-13 14h05.59.795728 +0100,
flugzeug1,0,7,7,13,,,,,91.93389980000211,,,,,,,,,,91.8832606000069,91.93389980000211,93.95367420002003,94.8966277000145,3.013648699998157,96.19865410000784,"[-300, 0]",[-0.175],[0.018518518518518517],[1],[0],[0],[1.3015719999966677],[1],['target_find'],96.19907410000451,97.20200790002127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155954,001,2023-11-13_14h05.50.644,Selektive Wahrnehmung,2023.2.2,59.86772823418321,2023-11-13 14h05.59.795728 +0100,
gesicht1,0,8,8,8,,,,,97.22263950001798,,,,,,,,,,97.20280330002424,97.22263950001798,99.23106680001365,100.21347840002272,3.011516800004756,100.73007200000575,"[300, 0]",[0.2722222222222222],[-0.013888888888888888],[1],[0],[0],[0.5161058000230696],[1],['target_find'],100.7306188000075,101.74512970002252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155954,001,2023-11-13_14h05.50.644,Selektive Wahrnehmung,2023.2.2,59.86772823418321,2023-11-13 14h05.59.795728 +0100,
gesicht3,0,9,9,10,,,,,101.81769760002499,,,,,,,,,,101.74548130002222,101.81769760002499,103.82402830000501,104.75649310002336,3.0114290000055917,105.47418100002687,"[300, 300]",[0.287962962962963],[0.2212962962962963],[1],[0],[0],[0.7172449000063352],[1],['target_find'],105.47460180000053,106.48835400000098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155954,001,2023-11-13_14h05.50.644,Selektive Wahrnehmung,2023.2.2,59.86772823418321,2023-11-13 14h05.59.795728 +0100,
gesicht4,0,10,10,11,,,,,106.53762340001413,,,,,,,,,,106.48856820000219,106.53762340001413,108.53728180000326,109.50262900002417,3.0143554999958724,110.55257660002098,"[-300, 0]",[-0.175],[0.008333333333333333],[1],[0],[0],[1.0494965999969281],[1],['target_find'],110.55300179999904,111.56831610001973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155954,001,2023-11-13_14h05.50.644,Selektive Wahrnehmung,2023.2.2,59.86772823418321,2023-11-13 14h05.59.795728 +0100,
schlange1,0,11,11,2,,,,,111.58777390001342,,,,,,,,,,111.56853140000021,111.58777390001342,113.59938280002098,114.58753879999858,3.000037300022086,116.15772930000094,"[-300, -300]",[-0.27685185185185185],[-0.2740740740740741],[1],[0],[0],[1.5878417000058107],[1],['target_find'],116.15974350000033,117.16408880002564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155954,001,2023-11-13_14h05.50.644,Selektive Wahrnehmung,2023.2.2,59.86772823418321,2023-11-13 14h05.59.795728 +0100,
gruppe1,0,12,12,6,,,,,117.18199240000104,,,,,,,,,,117.16435050001019,117.18199240000104,119.18085990002146,120.16404280002462,3.000026199995773,121.18206720001763,"[0, 300]",[-0.007407407407407408],[0.2962962962962963],[1],[0],[0],[1.0176189000194427],[1],['target_find'],121.18247800000245,122.19968920000247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155954,001,2023-11-13_14h05.50.644,Selektive Wahrnehmung,2023.2.2,59.86772823418321,2023-11-13 14h05.59.795728 +0100,
auto1,0,13,13,12,,,,,122.22260170002119,,,,,,,,,,122.20045500001288,122.22260170002119,124.22913900000276,125.20708839999861,3.0074481000192463,126.8231823000242,"[-300, -300]",[-0.34074074074074073],[-0.21851851851851853],[1],[0],[0],[1.6156191999907605],[1],['target_find'],126.82368520001182,127.838170300005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155954,001,2023-11-13_14h05.50.644,Selektive Wahrnehmung,2023.2.2,59.86772823418321,2023-11-13 14h05.59.795728 +0100,
