Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Data_transparency.started,key_resp_data_transp.started,Data_transparency.stopped,key_resp_data_transp.keys,key_resp_data_transp.rt,key_resp_data_transp.duration,instructions.started,instructions.stopped,trial.started,target_show.started,target_show.stopped,target_find.started,mouse.started,trial.stopped,target_position_x_y,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,feedback.started,feedback.stopped,target_find.stopped,instructions_survey.started,instructions_survey.stopped,instructions_ratings.started,instructions_ratings.stopped,survey_ratings.started,survey_ratings.stopped,furcht.response,liebenswert.response,rated_image,survey_gen.started,survey_gen.stopped,age.text,gender.response,survey_games.started,survey_games.stopped,pc_frequency.response,reaction_games_frequency.response,instructions_neuro.started,instructions_neuro.stopped,survey_neuro.started,survey_neuro.stopped,neuro_1_rev.response,neuro_2.response,neuro_3.response,neuro_4_rev.response,survey_fear.started,survey_fear.stopped,specific_fear_spider.response,specific_fear_snake.response,thanks.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.027758099138736725,0.09421169944107533,8.927330799400806,z,8.823697600513697,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048946,001,2023-11-06_13h59.45.536,Selektive Wahrnehmung,2023.2.3,59.97753239889479,2023-11-06 14h00.42.864186 +0100,
,,,,,,,,,,,,,,,,,8.927377600222826,29.759978599846363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048946,001,2023-11-06_13h59.45.536,Selektive Wahrnehmung,2023.2.3,59.97753239889479,2023-11-06 14h00.42.864186 +0100,
flugzeug1,0,0,0,13,,,,,30.05888019874692,,,,,,,,,,29.79066369868815,30.05888019874692,32.05874959938228,32.82549609988928,3.065618200227618,34.531917398795485,"[300, -300]",[0.34814814814814815],[-0.30462962962962964],[1],[0],[0],[1.7055890001356602],[1],['target_find'],34.535150500014424,35.54296359978616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048946,001,2023-11-06_13h59.45.536,Selektive Wahrnehmung,2023.2.3,59.97753239889479,2023-11-06 14h00.42.864186 +0100,
gesicht2,0,1,1,9,,,,,35.67562289908528,,,,,,,,,,35.543494299054146,35.67562289908528,37.67538959905505,38.5916451998055,3.048749200999737,39.594620399177074,"[300, 300]",[0.31296296296296294],[0.28055555555555556],[1],[0],[0],[1.0025181993842125],[1],['target_find'],39.59515979886055,40.60884360037744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048946,001,2023-11-06_13h59.45.536,Selektive Wahrnehmung,2023.2.3,59.97753239889479,2023-11-06 14h00.42.864186 +0100,
spinne2,0,2,2,1,,,,,40.891813499853015,,,,,,,,,,40.609126798808575,40.891813499853015,42.89163270033896,43.64188299886882,3.0333613995462656,44.60950999893248,"[-300, 300]",[-0.20833333333333334],[0.24166666666666667],[1],[0],[0],[0.9667939990758896],[1],['target_find'],44.61003189906478,45.62609879858792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048946,001,2023-11-06_13h59.45.536,Selektive Wahrnehmung,2023.2.3,59.97753239889479,2023-11-06 14h00.42.864186 +0100,
gruppe1,0,3,3,6,,,,,45.7250193990767,,,,,,,,,,45.626764899119735,45.7250193990767,47.72490349970758,48.67476389929652,3.048741100355983,49.761875599622726,"[0, -300]",[-0.05462962962962963],[-0.35],[1],[0],[0],[1.0860743001103401],[1],['target_find'],49.76329419948161,50.775606298819184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048946,001,2023-11-06_13h59.45.536,Selektive Wahrnehmung,2023.2.3,59.97753239889479,2023-11-06 14h00.42.864186 +0100,
auto1,0,4,4,12,,,,,50.84143649972975,,,,,,,,,,50.77611690014601,50.84143649972975,52.84128809906542,53.807921098545194,2.999192200601101,54.493912698701024,"[-300, 0]",[-0.3435185185185185],[-0.008333333333333333],[1],[0],[0],[0.7181187011301517],[1],['target_find'],54.494903499260545,55.50935119949281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048946,001,2023-11-06_13h59.45.536,Selektive Wahrnehmung,2023.2.3,59.97753239889479,2023-11-06 14h00.42.864186 +0100,
zug1,0,5,5,15,,,,,55.64117289893329,,,,,,,,,,55.51023439876735,55.64117289893329,57.64124529995024,58.541442800313234,3.0324616990983486,60.07806919887662,"[-300, -300]",[-0.3055555555555556],[-0.23333333333333334],[1],[0],[0],[1.5352036990225315],[1],['target_find'],60.07948669977486,61.091941298916936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048946,001,2023-11-06_13h59.45.536,Selektive Wahrnehmung,2023.2.3,59.97753239889479,2023-11-06 14h00.42.864186 +0100,
schlange1,0,6,6,2,,,,,61.141171898692846,,,,,,,,,,61.09245149977505,61.141171898692846,63.14107679948211,64.12437460012734,3.0325348004698753,64.91298789903522,"[300, 0]",[0.30648148148148147],[-0.05740740740740741],[1],[0],[0],[0.7872804012149572],[1],['target_find'],64.91517180018127,65.9248076993972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048946,001,2023-11-06_13h59.45.536,Selektive Wahrnehmung,2023.2.3,59.97753239889479,2023-11-06 14h00.42.864186 +0100,
schlange2,0,7,7,3,,,,,65.95759649947286,,,,,,,,,,65.92512070015073,65.95759649947286,67.95748609863222,68.95761580020189,3.0328972004354,70.89301629923284,"[300, 300]",[0.33425925925925926],[0.21388888888888888],[1],[0],[0],[1.9346693009138107],[1],['target_find'],70.89402789995074,71.9084320999682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048946,001,2023-11-06_13h59.45.536,Selektive Wahrnehmung,2023.2.3,59.97753239889479,2023-11-06 14h00.42.864186 +0100,
