Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Data_transparency.started,key_resp_data_transp.started,Data_transparency.stopped,key_resp_data_transp.keys,key_resp_data_transp.rt,key_resp_data_transp.duration,instructions.started,instructions.stopped,trial.started,target_show.started,target_show.stopped,target_find.started,mouse.started,trial.stopped,target_position_x_y,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,feedback.started,feedback.stopped,target_find.stopped,instructions_survey.started,instructions_survey.stopped,instructions_ratings.started,instructions_ratings.stopped,survey_ratings.started,survey_ratings.stopped,furcht.response,liebenswert.response,rated_image,survey_gen.started,survey_gen.stopped,age.text,gender.response,survey_games.started,survey_games.stopped,pc_frequency.response,reaction_games_frequency.response,instructions_neuro.started,instructions_neuro.stopped,survey_neuro.started,survey_neuro.stopped,neuro_1_rev.response,neuro_2.response,neuro_3.response,neuro_4_rev.response,survey_fear.started,survey_fear.stopped,specific_fear_spider.response,specific_fear_snake.response,thanks.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.028457799984607846,0.04498919998877682,26.326888999989023,z,26.269010200019693,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,094937,001,2023-11-13_13h16.04.663,Selektive Wahrnehmung,2023.2.3,59.89329410700357,2023-11-13 13h28.25.466829 +0100,
,,,,,,,,,,,,,,,,,26.32693989999825,58.527473199996166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,094937,001,2023-11-13_13h16.04.663,Selektive Wahrnehmung,2023.2.3,59.89329410700357,2023-11-13 13h28.25.466829 +0100,
gruppe2,0,0,0,7,,,,,58.5929300999851,,,,,,,,,,58.548330499994336,58.5929300999851,60.60776859999169,61.557740299991565,3.0303301999811083,63.44297129998449,"[300, 300]",[0.26944444444444443],[0.1638888888888889],[1],[0],[0],[1.8843851999845356],[1],['target_find'],63.445212099992204,64.45829109998886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,094937,001,2023-11-13_13h16.04.663,Selektive Wahrnehmung,2023.2.3,59.89329410700357,2023-11-13 13h28.25.466829 +0100,
gesicht1,0,1,1,8,,,,,64.52616919999127,,,,,,,,,,64.45906829999876,64.52616919999127,66.5401118999871,67.48977699998068,3.0317480999801774,68.44176869999501,"[0, 300]",[0.016666666666666666],[0.23981481481481481],[1],[0],[0],[0.9509806999994908],[1],['target_find'],68.4427109999815,69.45755829999689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,094937,001,2023-11-13_13h16.04.663,Selektive Wahrnehmung,2023.2.3,59.89329410700357,2023-11-13 13h28.25.466829 +0100,
zug1,0,2,2,15,,,,,69.50602859997889,,,,,,,,,,69.45846039999742,69.50602859997889,71.50600099997246,72.489450699999,3.0319670000171755,73.3927299999923,"[-300, 300]",[-0.2740740740740741],[0.2111111111111111],[1],[0],[0],[0.9023824000032619],[1],['target_find'],73.39417039998807,74.40694369998528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,094937,001,2023-11-13_13h16.04.663,Selektive Wahrnehmung,2023.2.3,59.89329410700357,2023-11-13 13h28.25.466829 +0100,
person1,0,3,3,4,,,,,74.44243379999534,,,,,,,,,,74.4072209999722,74.44243379999534,76.45712939999066,77.42265989998123,3.0160456000012346,78.72603679998429,"[0, -300]",[0.1],[-0.29814814814814816],[1],[0],[0],[1.3021069999958854],[1],['target_find'],78.72744559997227,79.74040399998194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,094937,001,2023-11-13_13h16.04.663,Selektive Wahrnehmung,2023.2.3,59.89329410700357,2023-11-13 13h28.25.466829 +0100,
spinne2,0,4,4,1,,,,,79.97215489999508,,,,,,,,,,79.7412940999784,79.97215489999508,81.97244679997675,82.78898329997901,3.048644399998011,83.39182969997637,"[0, -300]",[-0.000925925925925926],[-0.26481481481481484],[1],[0],[0],[0.6020459999854211],[1],['target_find'],83.39300059998641,84.40603819998796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,094937,001,2023-11-13_13h16.04.663,Selektive Wahrnehmung,2023.2.3,59.89329410700357,2023-11-13 13h28.25.466829 +0100,
schlange1,0,5,5,2,,,,,84.47372069998528,,,,,,,,,,84.40630659999442,84.47372069998528,86.47364439998637,87.45691329997499,3.05118529999163,88.72485829997458,"[-300, 0]",[-0.2324074074074074],[-0.025925925925925925],[1],[0],[0],[1.2668542999890633],[1],['target_find'],88.72603999997955,89.74021739998716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,094937,001,2023-11-13_13h16.04.663,Selektive Wahrnehmung,2023.2.3,59.89329410700357,2023-11-13 13h28.25.466829 +0100,
gesicht4,0,6,6,11,,,,,89.78860839997651,,,,,,,,,,89.74108999999589,89.78860839997651,91.78875039998093,92.77216149997548,3.032216099993093,93.52426859998377,"[300, -300]",[0.35555555555555557],[-0.33425925925925926],[1],[0],[0],[0.7510336999839637],[1],['target_find'],93.52544529997976,94.54097799997544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,094937,001,2023-11-13_13h16.04.663,Selektive Wahrnehmung,2023.2.3,59.89329410700357,2023-11-13 13h28.25.466829 +0100,
schlange2,0,7,7,3,,,,,94.59175349998986,,,,,,,,,,94.54172589999507,94.59175349998986,96.60637629998382,97.57155599998077,3.0306311000022106,98.32468259998132,"[0, -300]",[0.12685185185185185],[-0.2861111111111111],[1],[0],[0],[0.7523495999921579],[1],['target_find'],98.32582869997714,99.33967129999655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,094937,001,2023-11-13_13h16.04.663,Selektive Wahrnehmung,2023.2.3,59.89329410700357,2023-11-13 13h28.25.466829 +0100,
schiff1,0,8,8,14,,,,,99.38839339997503,,,,,,,,,,99.34054609999293,99.38839339997503,101.38841509999475,102.37131059999228,3.0316886999935377,103.62485039999592,"[0, 300]",[-0.016666666666666666],[0.17685185185185184],[1],[0],[0],[1.2527671999996528],[1],['target_find'],103.62601739997626,104.63872669998091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,094937,001,2023-11-13_13h16.04.663,Selektive Wahrnehmung,2023.2.3,59.89329410700357,2023-11-13 13h28.25.466829 +0100,
gesicht2,0,9,9,9,,,,,104.67465349999839,,,,,,,,,,104.6390102999867,104.67465349999839,106.68828399997437,107.65474169998197,3.016090599994641,108.49165489998995,"[300, 300]",[0.2490740740740741],[0.26944444444444443],[1],[0],[0],[0.8359605000005104],[1],['target_find'],108.49296119998326,109.50606809998862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,094937,001,2023-11-13_13h16.04.663,Selektive Wahrnehmung,2023.2.3,59.89329410700357,2023-11-13 13h28.25.466829 +0100,
spinne1,0,10,10,0,,,,,109.55461819999618,,,,,,,,,,109.50694739999017,109.55461819999618,111.55465689999983,112.53804839999066,3.032047499989858,113.27402389998315,"[300, 300]",[0.2601851851851852],[0.25462962962962965],[1],[0],[0],[0.7351865999808069],[1],['target_find'],113.27511189997313,114.28950629997416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,094937,001,2023-11-13_13h16.04.663,Selektive Wahrnehmung,2023.2.3,59.89329410700357,2023-11-13 13h28.25.466829 +0100,
flugzeug1,0,11,11,13,,,,,114.35736739999265,,,,,,,,,,114.29045629999018,114.35736739999265,116.37204599997494,117.30464859999483,3.0152102999854833,117.79144979998819,"[300, 300]",[0.25555555555555554],[0.24722222222222223],[1],[0],[0],[0.4858202000032179],[1],['target_find'],117.79286929999944,118.80701109999791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,094937,001,2023-11-13_13h16.04.663,Selektive Wahrnehmung,2023.2.3,59.89329410700357,2023-11-13 13h28.25.466829 +0100,
person2,0,12,12,5,,,,,118.85744419999537,,,,,,,,,,118.80775269999867,118.85744419999537,120.87221319999662,121.85426339998958,3.047331999987364,122.4057234999782,"[0, 300]",[0.11666666666666667],[0.23148148148148148],[1],[0],[0],[0.550929899996845],[1],['target_find'],122.40623609998147,123.42174049999448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,094937,001,2023-11-13_13h16.04.663,Selektive Wahrnehmung,2023.2.3,59.89329410700357,2023-11-13 13h28.25.466829 +0100,
auto1,0,13,13,12,,,,,123.47080899999128,,,,,,,,,,123.42226849999861,123.47080899999128,125.47097519997624,126.45409519999521,3.032461399998283,127.22429609997198,"[-300, 0]",[-0.3990740740740741],[-0.04814814814814815],[1],[0],[0],[0.7692068000033032],[1],['target_find'],127.22559919999912,128.23866589998943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,094937,001,2023-11-13_13h16.04.663,Selektive Wahrnehmung,2023.2.3,59.89329410700357,2023-11-13 13h28.25.466829 +0100,
gesicht3,0,14,14,10,,,,,128.2737745999766,,,,,,,,,,128.23934339999687,128.2737745999766,130.28854249999858,131.25381159997778,3.0152169999782927,132.0063364999951,"[-300, 300]",[-0.2777777777777778],[0.23796296296296296],[1],[0],[0],[0.75182780000614],[1],['target_find'],132.00724239999545,133.02159609997761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,094937,001,2023-11-13_13h16.04.663,Selektive Wahrnehmung,2023.2.3,59.89329410700357,2023-11-13 13h28.25.466829 +0100,
gruppe1,0,15,15,6,,,,,133.07045719999587,,,,,,,,,,133.02218949998496,133.07045719999587,135.0705357999832,136.0536750999745,3.0321640000038315,136.95548439997947,"[300, 0]",[0.30185185185185187],[0.008333333333333333],[1],[0],[0],[0.9012507000006735],[1],['target_find'],136.9560495999758,137.97194199997466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,094937,001,2023-11-13_13h16.04.663,Selektive Wahrnehmung,2023.2.3,59.89329410700357,2023-11-13 13h28.25.466829 +0100,
