Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Data_transparency.started,key_resp_data_transp.started,Data_transparency.stopped,key_resp_data_transp.keys,key_resp_data_transp.rt,key_resp_data_transp.duration,instructions.started,instructions.stopped,trial.started,target_show.started,target_show.stopped,target_find.started,mouse.started,trial.stopped,target_position_x_y,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,feedback.started,feedback.stopped,instructions_survey.started,instructions_survey.stopped,instructions_ratings.started,instructions_ratings.stopped,survey_ratings.started,survey_ratings.stopped,furcht.response,liebenswert.response,rated_image,survey_gen.started,survey_gen.stopped,age.text,gender.response,survey_games.started,survey_games.stopped,pc_frequency.response,reaction_games_frequency.response,instructions_neuro.started,instructions_neuro.stopped,survey_neuro.started,survey_neuro.stopped,neuro_1_rev.response,neuro_2.response,neuro_3.response,neuro_4_rev.response,survey_fear.started,survey_fear.stopped,specific_fear_spider.response,specific_fear_snake.response,thanks.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.01609179936349392,0.03246060013771057,9.367415100336075,z,9.333151699975133,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590610,001,2023-11-06_13h31.52.265,Selektive Wahrnehmung,2023.2.3,59.98015844043586,2023-11-06 13h32.48.556652 +0100,
,,,,,,,,,,,,,,,,,9.36747319996357,27.28382460027933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590610,001,2023-11-06_13h31.52.265,Selektive Wahrnehmung,2023.2.3,59.98015844043586,2023-11-06 13h32.48.556652 +0100,
spinne1,0,0,0,0,,,,,27.348313700407743,,,,,,,,,,27.301743799820542,27.348313700407743,29.34814270026982,30.314913099631667,3.0311591997742653,31.616924600675702,"[-300, 0]",[-0.19722222222222222],[-0.03425925925925926],[1],[0],[0],[1.3013369999825954],[1],['target_find'],31.618552999570966,32.63247090019286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590610,001,2023-11-06_13h31.52.265,Selektive Wahrnehmung,2023.2.3,59.98015844043586,2023-11-06 13h32.48.556652 +0100,
gesicht4,0,1,1,11,,,,,32.76482420042157,,,,,,,,,,32.63308119960129,32.76482420042157,34.76451629959047,35.69782330095768,2.999048599973321,36.367661099880934,"[0, 300]",[-0.14444444444444443],[0.4046296296296296],[1],[0],[0],[0.734824899584055],[0],['dis3'],36.36882309988141,37.38189640082419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590610,001,2023-11-06_13h31.52.265,Selektive Wahrnehmung,2023.2.3,59.98015844043586,2023-11-06 13h32.48.556652 +0100,
person1,0,2,2,4,,,,,37.43107789941132,,,,,,,,,,37.38238739967346,37.43107789941132,39.43135219998658,40.43132540024817,3.0495122000575066,41.03331070020795,"[300, 300]",[0.24537037037037038],[0.20277777777777778],[1],[0],[0],[0.6012648995965719],[1],['target_find'],41.03430370055139,42.04873510077596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590610,001,2023-11-06_13h31.52.265,Selektive Wahrnehmung,2023.2.3,59.98015844043586,2023-11-06 13h32.48.556652 +0100,
gesicht1,0,3,3,8,,,,,42.16439810022712,,,,,,,,,,42.04935649968684,42.16439810022712,44.1644778996706,45.11447519995272,2.999219400808215,45.684507900848985,"[300, 0]",[0.3490740740740741],[-0.002777777777777778],[1],[0],[0],[0.6351021993905306],[1],['target_find'],45.68595870025456,46.69841060042381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590610,001,2023-11-06_13h31.52.265,Selektive Wahrnehmung,2023.2.3,59.98015844043586,2023-11-06 13h32.48.556652 +0100,
person2,0,4,4,5,,,,,46.73113049939275,,,,,,,,,,46.69900380074978,46.73113049939275,48.73074029944837,49.764309199526906,3.0659933015704155,50.484304800629616,"[0, -300]",[0.04814814814814815],[-0.175],[1],[0],[0],[0.7190487999469042],[1],['target_find'],50.485752400010824,51.498752599582076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590610,001,2023-11-06_13h31.52.265,Selektive Wahrnehmung,2023.2.3,59.98015844043586,2023-11-06 13h32.48.556652 +0100,
schlange1,0,5,5,2,,,,,51.54737799987197,,,,,,,,,,51.49949670024216,51.54737799987197,53.54731949977577,54.53071600012481,3.0322287995368242,55.53287620097399,"[300, -300]",[0.18981481481481483],[-0.28888888888888886],[1],[0],[0],[1.0011737998574972],[1],['target_find'],55.5338963996619,56.54838800057769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590610,001,2023-11-06_13h31.52.265,Selektive Wahrnehmung,2023.2.3,59.98015844043586,2023-11-06 13h32.48.556652 +0100,
gruppe2,0,6,6,7,,,,,56.58047189936042,,,,,,,,,,56.54901609942317,56.58047189936042,58.5806317999959,59.58060310035944,3.0322895999997854,60.449977500364184,"[0, 300]",[0.002777777777777778],[0.2777777777777778],[1],[0],[0],[0.8685487993061543],[1],['target_find'],60.451140800490975,61.464682599529624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590610,001,2023-11-06_13h31.52.265,Selektive Wahrnehmung,2023.2.3,59.98015844043586,2023-11-06 13h32.48.556652 +0100,
gruppe1,0,7,7,6,,,,,61.513612400740385,,,,,,,,,,61.4652996994555,61.513612400740385,63.513579400256276,64.49713760055602,2.999047501012683,64.98403899930418,"[0, 300]",[-0.008333333333333333],[0.2611111111111111],[1],[0],[0],[0.519022099673748],[1],['target_find'],64.98542829975486,65.99797149933875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590610,001,2023-11-06_13h31.52.265,Selektive Wahrnehmung,2023.2.3,59.98015844043586,2023-11-06 13h32.48.556652 +0100,
